NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Panificadora Santa Luzia;4.0;290 comentários;R. João Cordeiro, 766 - Praia de Iracema, Fortaleza - CE, 60110-300;$$;10 min;padaria
Pão de Mel;3.8;752 comentários;Av. Monsenhor Tabosa, 1108 - Meireles, Fortaleza - CE, 60165-068;Padaria;25 min;padaria
Pão de Açúcar - Cocó;4.2;1.007 comentários;Shopping Casa Blanca Mall, Av. Eng. Santana Jr., 2277 - Cocó, Fortaleza - CE, 60175-650;Supermercado;20 min;padaria
Empório Do Pão (Beni de Carvalho) (Cometa);3.4;5 comentários;R. Beni Carvalho, 627 - Aldeota, Fortaleza - CE, 60135-400;Padaria;;padaria
Panebox Gourmet (Fátima);4.3;1.192 comentários;Rua Monsenhor Otávio de Castro, 582 - Fátima, Fortaleza - CE, 60050-150;$$;20 min;padaria
Padaria San Remo (José Bonifácio);4.3;1.205 comentários;R. Barão de Aratanha, 551 - José Bonifacio, Fortaleza - CE, 60050-070;$$;15 min;padaria
Pão de Mel;3.8;752 comentários;Av. Monsenhor Tabosa, 1108 - Meireles, Fortaleza - CE, 60165-068;Padaria;25 min;padaria
Delicias do Trigo Padaria (Farias Brito);3.9;84 comentários;R. Rúbia Sampaio, 1155 - loja 5 - Farias Brito, Fortaleza - CE, 60360-820;Padaria;20 min;padaria
Padaria e confeitaria o Elias;5.0;6 comentários;R. Caravelas - Vicente Pinzon, Fortaleza - CE, 60181-740;Padaria;;padaria
Alice Padaria;4.1;1.336 comentários;Av. Castelo de Castro, 53 - Conjunto São Cristóvão, Fortaleza - CE, 60866-681;$$;15 min;padaria
Costa Mendes (Vila União);4.4;1.153 comentários;R. Raul Cabral, 140 - Vila União, Fortaleza - CE, 60410-672;$$;20 min;padaria
Panificadora Nossa Senhora Da Guia;4.4;557 comentários;Av. Carneiro de Mendonça, 1151 - Demócrito Rocha, Fortaleza - CE, 60440-160;Padaria;15 min;padaria
Padaria Pão do Chefe;4.3;7 comentários;Rua Professor Álvaro Costa, 1210 - Vicente Pinzon, Fortaleza - CE, 60182-012;Padaria;;padaria
Panificadora Trigo Doce;4.2;113 comentários;Rua Marechal Deodoro, 67 - Benfica, Fortaleza - CE, 60020-060;$$;10 min;padaria
Padaria e Confeitaria Pão Caseiro;4.4;70 comentários;Av. Independência, 2185 - Quintino Cunha, Fortaleza - CE, 60345-530;Padaria;10 min;padaria
PANIFICADORA TOP PÃO;4.4;115 comentários;R. 327, 25 - Conj. Ceará II, Fortaleza - CE, 60530-690;$;10 min;padaria
Panificadora;;;Av. Zezé Diogo, 112 - Cais do Porto, Fortaleza - CE, 60180-005;;;padaria
Padaria Helloysa;4.0;4 comentários;R. Audízio Mosca de Carvalho - Manuel Dias Branco, Fortaleza - CE, 60191-520;Padaria;15 min;padaria
Padaria o bolinha;5.0;2 comentários;R. Castro Monte, 11 - Varjota, Fortaleza - CE, 60175-230;Padaria;;padaria
Padaria Vitoria;;;Av. Central, 215 - Cidade 2000, Fortaleza - CE, 60190-611;;;padaria
Padaria monte carmelo;4.8;9 comentários;R. Floriano Peixoto, 916 - Centro, Fortaleza - CE, 60025-130;Padaria;30 min;padaria
Padaria delicias de pães;;;R. Lima Barreto, 18 - Vicente Pinzon, Fortaleza - CE, 60184-230;;;padaria
Padaria Tripane;4.2;11 comentários;Rua Nossa Senhora das Graças, 1079 - Cristo Redentor, Fortaleza - CE, 60310-770;Padaria;;padaria
Pão de Mel;3.8;752 comentários;Av. Monsenhor Tabosa, 1108 - Meireles, Fortaleza - CE, 60165-068;Padaria;25 min;padaria
FRANGOPAN;4.4;115 comentários;Av. Sgt. Hermínio Sampaio, 2688 - Bairro Ellery, Fortaleza - CE, 60320-501;$;10 min;padaria
Padaria Lisieux;4.1;357 comentários;Av. Sgt. Hermínio Sampaio, 3568 - Pres. Kennedy, Fortaleza - CE, 60355-512;$;10 min;padaria
Padaria Trigo de Ouro;3.0;Um comentário;R. dos Cajueiros, 1537 - Manuel Dias Branco, Fortaleza - CE, 60191-665;Padaria;;padaria
Padaria Pet Fortaleza;4.9;40 comentários;Rua Doutor José Lourenço, 870. Lojas 5 e 6 - Aldeota, Fortaleza - CE, 60115-280;Pet shop em Fortaleza, Ceará;15-45 min;padaria
Mercado e Padaria Vó Mozinha;;;R. Antônio Gomes Guimarães, 159 - Manuel Dias Branco, Fortaleza - CE, 60191-195;;;padaria
O Elias Padaria;3.5;4 comentários;Rua Professor Luíz Costa - Vicente Pinzon, Fortaleza - CE, 60175-550;Padaria;;padaria
Padaria Bom Preço;;;R. Socorro Gomes - Manuel Dias Branco, Fortaleza - CE, 60191-662;;;padaria
Padaria;4.2;22 comentários;R. Fenelon Bomilcar, 304 - Jardim Iracema, Fortaleza - CE, 60330-705;Padaria;;padaria
Mercado do Café - Benfica;4.2;3.780 comentários;Rua Padre Francisco Pinto, 186 - Gentilândia, Fortaleza - CE, 60020-290;$$;;padaria
Panificadora GG;5.0;2 comentários;R. Dom Hélio Campos, 80 - Carlito Pamplona, Fortaleza - CE, 60311-630;Padaria;;padaria
Padaria Praia;;;R. José Mauro, 2-20 - Antonio Diogo, Fortaleza - CE, 60182-535;;;padaria
Pão do Jorge - Fermentação Natural por Encomenda;;;Parque del Sol - Cidade dos Funcionários, Fortaleza - CE, 60824-020;;;padaria
DVWR Padaria de Delícias;5.0;4 comentários;R. São Crisóstomo, 100 - Cais do Porto, Fortaleza - CE, 60180-310;Confeitaria;;padaria
Padaria;5.0;3 comentários;R. Almírante Rufino, 473 - Vila União, Fortaleza - CE, 60420-075;Padaria;;padaria
Padariaopçõeslanches;;;Av. Dos Jangadeiros, 1115 - Mucuripe, Fortaleza - CE, 60175-440;;;padaria
Mercadinho e Padaria Fortaleza;4.5;8 comentários;R. José Vilar - Meireles, Fortaleza - CE, 60125-000;Supermercado;15 min;padaria
Padaria Vó Dedé;3.0;3 comentários;Av. Coronel Miguel Dias, 1389 - Luciano Cavalcante, Fortaleza - CE, 60810-160;Padaria;;padaria
PADARIA LINA;5.0;2 comentários;R. Antônio Pompeu - Centro, Fortaleza - CE, 60040-000;Padaria;;padaria
Flôr do Café Confeitaria;4.6;176 comentários;R. Rodrigues Júnior, 996 - Centro, Fortaleza - CE, 60060-000;Confeitaria;10 min;padaria
Empório do Bolo - Cidade 2000;4.5;130 comentários;Av. Central, 248 - Cidade 2000, Fortaleza - CE, 60190-610;Confeitaria;15 min;padaria
Pão de Mel;3.8;752 comentários;Av. Monsenhor Tabosa, 1108 - Meireles, Fortaleza - CE, 60165-068;Padaria;25 min;padaria
Padaria do Joao;;;R. Central - Cajazeiras, Fortaleza - CE, 60000-000;;;padaria
Chiquita Bacana;;;R. Pedro Balbino, 158 - Cidade 2000, Fortaleza - CE, 60191-680;;;padaria
Praiadomorrobranco;;;Centro, Fortaleza - CE, 60050-040;;;padaria
Bolos Da Flor;;;Alameda Telma, 106 - Cidade 2000, Fortaleza - CE, 60190-250;;;padaria
Coco Bambu Coffee Break: Cafés, Padaria, Restaurante, Drive Thru, Fortaleza CE;4.6;584 comentários;R. Barão de Aracati, 1060 - Aldeota, Fortaleza - CE, 60115-081;$$$;30 min a 1,5 h;padaria
Panificadora Romana Praça do Ferreira;2.9;34 comentários;R. Barão do Rio Branco, 992 - Centro, Fortaleza - CE, 60025-903;Padaria;;padaria
Empório Ribeira do Porto;4.6;230 comentários;Av. Litorânea, 1000 - Sabiaguaba, Aquiraz - CE, 61700-000;Padaria;10-45 min;padaria
Mil Doçuras;4.7;36 comentários;R. Vitória da Conquista, 1453 - Manuel Dias Branco, Fortaleza - CE, 60191-670;Confeitaria;;padaria
"Pasteleria ""Maju""";;;Rua Solon Pinheiro, 1015 - Centro, Fortaleza - CE, 60050-041;;;padaria
Puro Amor - Doces e Salgados;4.0;355 comentários;R. Sen. Pompeu, 2764 - Loja B - Benfica, Fortaleza - CE, 60025-002;$;10 min;padaria
Cafeteria Prosa e Queijos;4.9;40 comentários;Av. Dr. Aldy Mentor, 430 - Cidade 2000, Fortaleza - CE, 60191-106;Cafeteria;15 min;padaria
Padaria São Raimundo;4.3;12 comentários;R. Antônio Atualpa Rodrigues - Antonio Diogo, Fortaleza - CE;Padaria;;padaria
Padaria Pão e Pizza;4.0;8 comentários;Av. dos Flamboyants, 95 - Cidade 2000, Fortaleza - CE, 60190-570;Padaria;;padaria
Lá na Lícia;;;R. Vilebaldo Aguiar, 3000 - Manuel Dias Branco, Fortaleza - CE, 60191-375;;;padaria
Dream Place Ateliê;5.0;9 comentários;R. Jaime Benévolo, 708 - José Bonifacio, Fortaleza - CE, 60050-080;Confeitaria;;padaria
Cake Mania By Adriana Pessoa;4.5;24 comentários;Alameda Nadja, 334 - Quadra 8 - Cidade 2000, Fortaleza - CE, 60190-230;Confeitaria;;padaria
