NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
The Coffee;4.3;9 comentários;Av. Dom Luís, 1200 - Meireles, Fortaleza - CE, 60160-230;Cafeteria;;drive thru
Delicious Pizzaria;4.6;44 comentários;Alameda Das Miosótes, 405 - Cidade 2000, Fortaleza - CE, 60190-490;Delivery de Pizza;;drive thru
Café de Oyá;5.0;3 comentários;R. Manuelito Moreira, 96 - Benfica, Fortaleza - CE, 60025-210;Bar;;drive thru
Del Plata Pastas;4.9;128 comentários;Rua Santa Maria, 2 - José Bonifacio, Fortaleza - CE, 60025-110;Restaurante;1,5 horas;drive thru
Brazinha Grill 2;4.3;154 comentários;Rua General Bezerril, 590 - Centro, Fortaleza - CE, 60055-100;Restaurante;30 min;drive thru
Complexo Crocobeach;4.6;32.492 comentários;Av. Clóvis Arrais Maia, 3125 - Praia Do Futuro, Fortaleza - CE, 60182-324;$$;;drive thru
Shopping Metrô;4.2;7.139 comentários;Rua 24 de Maio - Centro, Fortaleza - CE;Shopping center em Fortaleza, Ceará;15-45 min;drive thru
Secretaria da Saúde do Estado do Ceará;2.2;178 comentários;Av. Almirante Barroso, 600 - Praia de Iracema, Fortaleza - CE, 60060-440;Departamento de saúde pública em Fortaleza, Ceará;;drive thru
Império dos salgados;;;R. Sen. Pompeu, 1211 - Centro, Fortaleza - CE, 60025-000;;;drive thru
Zoá Gastrobar;4.7;54 comentários;R. Visc. de Mauá, 2217 - Dionísio Torres, Fortaleza - CE, 60125-161;Restaurante;45 min a 2 h;drive thru
Marmitaria tempero da Mary;3.7;6 comentários;R. Manoel Marques, 232 - Manuel Dias Branco, Fortaleza - CE, 60191-675;Restaurante de comida caseira;;drive thru
baratoexpress.ce;5.0;Um comentário;R. Floriano Peixoto, 773 - Centro, Fortaleza - CE, 60025-130;Loja de moda feminina em Fortaleza, Ceará;;drive thru
Marmitaria e churrasquinho Rosana;;;Miguel calmont 526, Fortaleza - CE, 60821-200;;;drive thru
Doceria da Thatha;5.0;5 comentários;Rua Sousa Girão, 115 - José Bonifacio, Fortaleza - CE, 60055-370;Doceria;;drive thru
LT vision;4.3;4.251 comentários;R. Sen. Pompeu, 856 - Centro, Fortaleza - CE, 60025-000;Shopping center em Fortaleza, Ceará;15-45 min;drive thru
Uritu Cafés Especiais: Cafés, Utensílios, Empório, Centro, Fortaleza;4.9;51 comentários;Rua Dona Leopoldina, 396 - Centro, Fortaleza - CE, 60110-000;Atacadista de café;10 min a 1 h;drive thru
Mercadão Shopping;4.3;4.722 comentários;Rua 24 de Maio, 411 - Centro, Fortaleza - CE, 60020-030;Shopping center em Fortaleza, Ceará;10-45 min;drive thru
