NOME,PONTUACAO,COMENTARIO,LOCAL,TIPO,TEMPO_ESPERA,BUSCA_ID,tempo_min_minutos,tempo_max_minutos,tempo_min,tempo_max,latitude,longitude,Bairro,bairro
Empório Café,4.7,117 comentários,"Av. Dom Luís, 1200 - Meireles, Fortaleza - CE, 60160-230",Cafeteria,,cafeteria,,,,,,,Meireles,
Tiamate Coffee,4.5,786 comentários,"R. Floriano Peixoto, 484 - Centro, Fortaleza - CE, 60310-330",$$,25 min a 1 h,cafeteria,25.0,25.0,0 days 00:25:00,0 days 00:25:00,-3.7267311,-38.526995,Centro,
Cafeteria Santa Clara,4.5,37 comentários,"R. Major Facundo, 500 - Centro, Fortaleza - CE, 60025-100",Cafeteria,,cafeteria,,,,,-3.7273553,-38.5281144,Centro,
Bleecker Café - Aldeota,4.7,536 comentários,"Rua Silva Paulet, 1281 - Aldeota, Fortaleza - CE, 60120-021",$$,25 min a 2 h,cafeteria,25.0,25.0,0 days 00:25:00,0 days 00:25:00,-3.7363935,-38.5058374,Aldeota,
Nupê Café,4.7,164 comentários,"Rua Coronel Jucá, 537 - Meireles, Fortaleza - CE, 60170-288",$$,,cafeteria,,,,,,,Meireles,
Benévolo Café e Gelato,4.6,1.386 comentários,"R. Ana Bilhar, 1083 - Meireles, Fortaleza - CE, 60160-110",$$,"20 min a 1,5 h",cafeteria,20.0,20.0,0 days 00:20:00,0 days 00:20:00,-3.7308598,-38.4907071,Meireles,
Oie Cafeteria,4.6,145 comentários,"R. República da Armênia, 1311 - Parque Manibura, Fortaleza - CE, 60821-760",Cafeteria,"15 min a 1,5 h",cafeteria,15.0,15.0,0 days 00:15:00,0 days 00:15:00,-3.7922303,-38.4809735,Parque Manibura,
Tipo.cc - Café e Coworking,4.7,204 comentários,"R. José Vilar, 3040 - loja 2 - Dionísio Torres, Fortaleza - CE, 60125-001",Cafeteria,1-3 horas,cafeteria,,,,,,,Dionísio Torres,
Cafeteria Tres Coraçoes,4.3,3 comentários,"Av. Washington Soares, 85 - 720a - Edson Queiroz, Fortaleza - CE, 60811-900",Cafeteria,,cafeteria,,,,,,,Edson Queiroz,
Duckbill Fortaleza (Beira Mar),4.2,103 comentários,"Av. Beira Mar, 2500 - Meireles, Fortaleza - CE, 60165-121 - Meireles, Fortaleza - CE, 60165-120",Cafeteria,,cafeteria,,,,,,,Meireles,
