,NOME,PONTUACAO,COMENTARIO,LOCAL,TIPO,TEMPO_ESPERA,BUSCA_ID
777,Amarú Cosméticos & Baby,4.8,17 comentários,"R. Pedro Pereira, 151 - Centro, Fortaleza - CE, 60035-000","Loja de cosmético em Fortaleza, Ceará",,padaria
778,MALHY Cozinhas Industriais,4.0,Um comentário,"Rua 24 de Maio, 1019 - Centro, Fortaleza - CE, 60035-110","Loja de artigos domésticos em Fortaleza, Ceará",,padaria
779,Pão de Açúcar (São Gerardo),4.3,1.995 comentários,"Av. Bezerra de Menezes, 1498/1548 - São Gerardo, Fortaleza - CE, 60325-001",Supermercado,20 min,padaria
780,Jotacê Carnes & Grill - Benfica,3.9,7 comentários,"Av. Domingos Olímpio, 387 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60040-081",Açougue,,padaria
781,super Uchôa,4.0,3 comentários,"Fortaleza - Zone 1, Fortaleza - CE",Supermercado,,padaria
782,Fortaleza Ceará,,,"Av. da Abolição - Meireles, Fortaleza - CE, 60125-160",,,padaria
783,Nova Oriental,3.0,Um comentário,"R. Edgar Borges, 32 - Centro, Fortaleza - CE, 60050-000","Loja em Fortaleza, Ceará",,padaria
784,Paraíba Importados,4.9,10 comentários,"Centro, Fortaleza - CE, 60050-000","Loja em Fortaleza, Ceará",,padaria
785,#Gôndolas - Instalações Comerciais,5.0,Um comentário,"R. Pedro Borges, 30 - Centro, Fortaleza - CE, 60055-110",Moveleiro,,padaria
786,"Óticas Boris Loja 07: Óculos de Grau, Óculos de Sol e Alianças em Fortaleza CE",5.0,40 comentários,"R. Pedro Pereira, 554 - Loja 07 - Centro, Fortaleza - CE, 60035-000","Ótica em Fortaleza, Ceará",,padaria
787,Máxima Fidelidade,,,"Palácio do Progresso - R. do Pocinho, Nº 33 - Loja 3 - Centro, Fortaleza - CE, 60055-110",,,padaria
788,Super Lagoa,,,"Rua Solon Pinheiro, 136 - Centro, Fortaleza - CE, 60050-040",Supermercado,20 min,padaria
789,Leve & natural,4.3,4 comentários,"R. Barão do Rio Branco, 2027 - José Bonifacio, Fortaleza - CE, 60025-061",Lanchonete,,padaria
790,Lanchonete Hiper Lanche,4.0,Um comentário,"Rua General Bezerril, 593 - Centro, Fortaleza - CE, 60055-100",Lanchonete,,padaria
791,Fortaleza,4.0,Um comentário,"R. Esperança - Vicente Pinzon, Fortaleza - CE, 60181-200",Armazém,,padaria
792,Esquina das Variedades,5.0,3 comentários,"R. Pedro Pereira, 732 - Centro, Fortaleza - CE, 60035-000","Loja de variedades em Fortaleza, Ceará",10 min a 1 h,padaria
793,Remap Elétrica e Iluminação Ltda Me,4.4,18 comentários,"R. Pedro 1, 619 A - Centro, Fortaleza - CE, 60035-100","Loja de iluminação em Fortaleza, Ceará",,padaria
794,Dr. Visão - Ótica em Fortaleza,4.3,18 comentários,"R. Pedro Pereira, n° 530 - Loja 01 - Centro, Fortaleza - CE, 60035-000","Ótica em Fortaleza, Ceará",,padaria
795,Shopping Dos Livros,3.3,3 comentários,"Rua General Bezerril, 420 - Centro, Fortaleza - CE, 60055-100","Livraria em Fortaleza, Ceará",,padaria
796,PRN Comércio de Confecções,,,"Av. Duque de Caxias, 235 - Centro, Fortaleza - CE, 60035-110",,,padaria
797,Condomínio do Edifício Atlantic Hills,4.7,15 comentários,"R. Gothardo Moraes, 155 - Papicu, Fortaleza - CE, 60190-801","Complexo de condomínio em Fortaleza, Ceará",,padaria
798,Construmix,4.5,4 comentários,"Condomínio Edifício Gal Tiburcio - loja 4, R. São Paulo, 32 - Centro, Fortaleza - CE","Loja de ferragens em Fortaleza, Ceará",,padaria
799,j alves e oliveira ltda,3.0,Um comentário,"R. Sen. Pompeu, 940 - Centro, Fortaleza - CE, 60025-000","Loja em Fortaleza, Ceará",15 min,padaria
800,Pão de Açúcar,4.4,840 comentários,"Shop. Aldeota - Av. Dom Luís, 500 - Lj.40 - Aldeota, Fortaleza - CE, 60160-230",Supermercado,10 min,padaria
801,Elétrica Fortaleza,5.0,3 comentários,"R. Pedro 1, 639 - Centro, Fortaleza - CE, 60035-100","Loja de materiais elétricos em Fortaleza, Ceará",,padaria
802,A Esmeralda,4.0,6 comentários,"R. Guilherme Rocha, 250 - Centro, Fortaleza - CE, 60030-140","Loja de roupa em Fortaleza, Ceará",,padaria
803,Fardamentos Intuito Fatal,4.0,3 comentários,"Rua Conselheiro Tristão, 622 - José Bonifacio, Fortaleza - CE, 60050-100","Loja de uniformes em Fortaleza, Ceará",,padaria
804,Via Cosméticos,5.0,7 comentários,"R. Floriano Peixoto, 577 - Centro, Fortaleza - CE, 60025-130","Loja de cosmético em Fortaleza, Ceará",,padaria
805,Perfecta Curitiba,4.5,4 comentários,"Av. Aguanambi, 837 - Fátima, Fortaleza - CE, 60040-290","Equipamentos de panificação em Fortaleza, Ceará",,padaria
806,Skinão das Ferragens,5.0,3 comentários,"R. São Paulo, 32 - Loja 02 - Centro, Fortaleza - CE, 60030-100","Loja de ferramentas em Fortaleza, Ceará",,padaria
807,Precision Ótica,3.0,4 comentários,"R. da Assunção, 511 - Centro, Fortaleza - CE, 60050-010","Ótica em Fortaleza, Ceará",,padaria
808,Simag - Distribuidora de Produtos de Limpeza.,4.4,12 comentários,"Av. Visconde do Rio Branco, 1714 - Centro, Fortaleza - CE, 60055-170","Serviço de distribuição em Fortaleza, Ceará",,padaria
809,Grotta,,,"R. Floriano Peixoto, 768 - Centro, Fortaleza - CE, 60025-130",,,padaria
810,Cirúrgica Fortaleza,2.8,5 comentários,"R. Barão do Rio Branco, 1731 - Centro, Fortaleza - CE, 60025-061","Loja de artigos hospitalares em Fortaleza, Ceará",,padaria
811,Churros Baia,,,"Centro, Fortaleza - CE, 60050-040",,,padaria
812,Bolos Caseiros Artesanais,5.0,Um comentário,"R. Dr. Gilberto Studart, 2980 - Manuel Dias Branco, Fortaleza - CE, 60191-365",Loja de bolos,,padaria
813,Bolo do Céu,4.1,7 comentários,"Rua Joaquim Magalhães, 1049,5 Altos - Benfica, Fortaleza - CE, 60040-125",Lanchonete,,padaria
814,Pastelaria Araújo,,,"R. dos Cajueiros, 1577 - Dunas, Fortaleza - CE, 60191-665",,,padaria
815,Espaço Gourmet,,,"Av. Duque de Caxias, 101 - Centro, Fortaleza - CE, 60055-170",,,padaria
816,1 2 3 Comercial De Presentes,,,"R. Floriano Peixoto, 809 - Centro, Fortaleza - CE, 60025-131",,,padaria
817,Manga Rosa,,,"R. Joaquim Magalhães, 262 - Benfica, Fortaleza - CE, 60040-160",,,padaria
818,Lojão Do Atacadista,,,"Rua Governador Sampaio, 25 - Centro, Fortaleza - CE, 60055-050",,,padaria
819,Limodas Industrial,3.0,2 comentários,"R. Barão do Rio Branco, 1092 - Centro, Fortaleza - CE, 60025-061","Loja de roupa em Fortaleza, Ceará",,padaria
820,Ôxximydog,5.0,4 comentários,"R. Raimundo Arruda, 64 - Parquelândia, Fortaleza - CE, 60450-500",Restaurante,,restaurante
821,Restaurante Mariano da Picanha,4.0,1.231 comentários,"Av. Monsenhor Tabosa, 1712 - Meireles, Fortaleza - CE, 60165-010",$$,,restaurante
822,"Camarada Camarão: Camarões, Peixes, Happy Hour, Restaurante, Fortaleza CE",4.5,867 comentários,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",$$$,5-45 min,restaurante
823,Cabaña Del Primo - Restaurante de Carnes em Fortaleza,4.6,823 comentários,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-065",$$$,"5 min a 1,5 h",restaurante
824,Divino Fogão - Riomar Fortaleza,4.2,667 comentários,"Rua Desembargador Lauro Nogueira, 1500 piso L3 sala coml 3030 - Papicu, Fortaleza - CE, 60176-065",$$,,restaurante
825,Hard Rock Cafe,4.7,5.290 comentários,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",$$$,"10 min a 1,5 h",restaurante
826,Delicias da Iaiá,4.4,5 comentários,"Rua Dr. Ribamar Lobo, N° 20 - Papicu, Fortaleza - CE, 60176-145",Restaurante brasileiro,10-45 min,restaurante
827,Cocina 378,4.7,510 comentários,"R. Vilebaldo Aguiar, 378 - Cocó, Fortaleza - CE, 60192-010",$$$,"1-2,5 horas",restaurante
828,Quintal Restaurante,4.6,350 comentários,"Av. Desembargador Moreira, 533 - Meireles, Fortaleza - CE, 60170-000",$$$,"45 min a 1,5 h",restaurante
829,Cemoara Restaurante,4.4,54 comentários,"R. Joaquim Nabuco, 166 - Meireles, Fortaleza - CE, 60125-120",Restaurante de frutos do mar,,restaurante
830,Santa Grelha,4.7,1.799 comentários,"R. Tibúrcio Cavalcante, 790 - Meireles, Fortaleza - CE, 60125-100",$$$,"1-2,5 horas",restaurante
831,Cabaña Del Primo,4.7,1.313 comentários,"R. Maria Tomásia, 503 - Aldeota, Fortaleza - CE, 60170-001",$$$,"10 min a 1,5 h",restaurante
832,Balcony Bistro,4.8,227 comentários,"R. Frederico Borges, 616 - Meireles, Fortaleza - CE, 60175-040",$$,,restaurante
833,Restaurante Mucuripe,4.6,189 comentários,"Av. Beira Mar, 3980 - Mucuripe, Fortaleza - CE, 60165-121",Restaurante de frutos do mar,1-3 horas,restaurante
834,Restaurante Marquês da Varjota,4.6,1.114 comentários,"R. Frederico Borges, 426 - Meireles, Fortaleza - CE, 60175-040",$$$,"1-2,5 horas",restaurante
835,Restaurante 44,4.4,522 comentários,"R. Joaquim Nabuco, 1224 - Aldeota, Fortaleza - CE, 60125-055",$$,30 min a 1 h,restaurante
836,"Butcher's 746: Steakhouse, Carnes Nobres, Churrasco, Delivery, Restaurante, Fortaleza CE",4.6,699 comentários,"R. Maria Tomásia, 746 - Aldeota, Fortaleza - CE, 60150-170",$$$,1-2 horas,restaurante
837,Casa Beá Restaurante,4.3,82 comentários,"Av. Desembargador Moreira, 615 A - Meireles, Fortaleza - CE, 60170-055",Restaurante,,restaurante
838,Pipo Restaurante,4.6,1.367 comentários,"R. Manoel Lourenço dos Santos, 399 - São João do Tauape, Fortaleza - CE, 60135-450",$$$,,restaurante
839,Vasto Restaurante,4.8,374 comentários,"Av. Senador Virgílio Távora, 511 - Meireles, Fortaleza - CE, 60170-251",Restaurante,"2-3,5 horas",restaurante
840,Madero Steak House Riomar Fortaleza,4.5,2.374 comentários,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",$$$,10 min a 1 h,restaurante
841,Restaurante Lima 21 - Gastronomia Peruana,4.6,243 comentários,"Rua Silva Jatahy, 505 - Meireles, Fortaleza - CE, 60165-070",Restaurante peruano,,restaurante
842,Restaurante Mayú,4.9,186 comentários,"Senac Reference - Av. Desembargador Moreira, 1301 - 4º andar - Aldeota, Fortaleza - CE, 60170-001",Restaurante,"1,5-3 horas",restaurante
843,ZOI Restaurante,4.6,772 comentários,"Av. Hermenegildo Sá Cavalcante, s/n - Edson Queiroz, Fortaleza - CE, 60811-905",Restaurante,,restaurante
844,Tilápia Restaurante,4.9,200 comentários,"R. Eliseu Uchôa Beco, 450 - Guararapes, Fortaleza - CE, 60810-270",Restaurante,"1-2,5 horas",restaurante
845,Casa Fontana,4.5,111 comentários,"R. Bento Albuquerque, 1976 - Cocó, Fortaleza - CE, 60192-050",Restaurante,"1,5-3 horas",restaurante
846,Moranga Bistrô,4.5,710 comentários,"R. Xavier de Castro, 100 - Praia de Iracema, Fortaleza - CE, 60060-660",$$$$,"1,5-2,5 horas",restaurante
847,Casa Nostra | Restaurante Italiano,4.6,1.203 comentários,"Av. Senador Virgílio Távora, 1800 - Dionísio Torres, Fortaleza - CE, 60170-251",$$,,restaurante
848,Moleskine Gastrobar,4.7,3.009 comentários,"Rua Professor Dias da Rocha, 578 - Meireles, Fortaleza - CE, 60170-310",$$$,,restaurante
849,Marcel Restaurante.,4.6,117 comentários,"Av. Historiador Raimundo Girão, 800 - Praia de Iracema, Fortaleza - CE, 60165-050",Restaurante francês,,restaurante
850,Sabor de Mar,4.2,148 comentários,"Av. Desembargador Moreira, 256 - Meireles, Fortaleza - CE, 60170-000",$$,"45 min a 2,5 h",restaurante
851,Dom Antunes Steakhouse: Restaurante de Carnes Nobres Aldeota Fortaleza,4.4,1.396 comentários,"Rua Frei Mansueto, 1560 - Aldeota, Fortaleza - CE, 60175-082",$$,,restaurante
852,Riô - drinks & comida,4.9,11 comentários,"Rua Frei Mansueto, 662 - Meireles, Fortaleza - CE, 60175-070",Restaurante brasileiro,,restaurante
853,Giz Cozinha Boêmia,4.6,1.583 comentários,"Rua Professor Dias da Rocha, 579 - Meireles, Fortaleza - CE, 60170-310",Restaurante brasileiro,"1,5-3,5 horas",restaurante
854,Geppos Praia - Restaurante na Praia de Iracema,4.4,3.201 comentários,"Av. Beira Mar, 3222 - Meireles, Fortaleza - CE, 60165-121",$$,1-2 horas,restaurante
855,Restaurante Moqueca,4.8,16 comentários,"Rua Pescador Chico Bindá, 318 - Vicente Pinzon, Fortaleza - CE, 60181-160",Restaurante de frutos do mar,,restaurante
856,Coco Bambu Beira Mar,4.6,18.692 comentários,"Av. Beira Mar, 3698 - Beira Mar, Fortaleza - CE, 60165-121",$$$,"1-2,5 horas",restaurante
857,Amarú Restaurante,4.4,1.299 comentários,"R. Mario Mamede, 932 - Fátima, Fortaleza - CE, 60411-170",$$,25 min a 1 h,restaurante
858,Restaurante Rei do Baião,4.5,1.367 comentários,"Av. Heráclito Graça, 699 - Centro, Fortaleza - CE, 60140-061",$$,30 min a 1 h,restaurante
859,Restaurante Renascença,4.5,282 comentários,"Rua General Tertuliano Potiguara, 570 - Aldeota, Fortaleza - CE, 60135-280",$$,45 min,restaurante
860,Coco Bambu Meireles,4.6,10.689 comentários,"Rua Canuto de Aguiar, 1317 - Meireles, Fortaleza - CE, 60160-120",$$$,"1,5-3 horas",restaurante
861,Restaurante da Zena,4.5,2.004 comentários,"R. Meton de Alencar, 549 - Centro, Fortaleza - CE, 60035-160",$$,25 min a 1 h,restaurante
862,Cervejaria Turatti,4.4,3.042 comentários,"R. Ana Bilhar, 1178 - Varjota, Fortaleza - CE, 60160-110",$$,,restaurante
863,RAIZ Cozinha Brasileira,4.4,1.185 comentários,"Av. Washington Soares, 3300 - Edson Queiroz, Fortaleza - CE, 60810-350",$$,1-3 horas,restaurante
864,Restaurante Ubajara,4.1,267 comentários,"R. Pinto Madeira, 600 - Centro, Fortaleza - CE, 60150-000",$,25 min,restaurante
865,Restaurante La Fiorelli,3.9,30 comentários,"Centro, Fortaleza - CE, 60025-100",Restaurante,,restaurante
866,Giappone Sushibar,4.1,33 comentários,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",Restaurante de sushi,,restaurante
867,Vignoli Fortaleza – Virgílio Távora,4.5,2.527 comentários,"Av. Senador Virgílio Távora, 10 - Meireles, Fortaleza - CE, 60822-150",$$$,1-2 horas,restaurante
868,Ryori Buganvília,4.5,668 comentários,"Av. Dom Luís, 1113 - Meireles, Fortaleza - CE, 60160-230",$$$,,restaurante
869,Ponza Frutos do Mar,3.7,19 comentários,"R. Vicente Leite, 520 - Loja 01 - Meireles, Fortaleza - CE, 60170-150",Restaurante mediterrâneo,"1,5-3 horas",restaurante
870,RESTAURANTE FINNA MISTURA,4.2,25 comentários,"Av. Beira Mar - Meireles, Fortaleza - CE, 60165-121",Restaurante self-service,,restaurante
871,Mistura Cearense,4.4,179 comentários,"R. da Assunção, 119 - Centro, Fortaleza - CE, 60050-010",Restaurante self-service,30 min,restaurante
872,Balcone,4.6,1.602 comentários,"R. Osvaldo Cruz, 919 - Meireles, Fortaleza - CE, 60125-048",$$$,1-2 horas,restaurante
873,Restaurante Philó,4.6,222 comentários,"Rua Silva Paulet, 958 - Meireles, Fortaleza - CE, 60120-020",$$,30 min a 1 h,restaurante
874,Vila Mosquito,4.5,1.120 comentários,"R. Antônio Augusto, 786 - Meireles, Fortaleza - CE, 60110-370",$$$,"1-2,5 horas",restaurante
875,Restaurante Estação do marisco Fortaleza Ceará,5.0,20 comentários,"R. Frederico Borges, 404 - Meireles, Fortaleza - CE, 60175-040",Restaurante de frutos do mar,,restaurante
876,Flor de Sal,3.7,688 comentários,"esquina com - Rua Osvaldo Cruz, Av. Beira Mar, n 08 - Meireles, Fortaleza - CE, 60125-150",$$,"1-1,5 horas",restaurante
877,"Porpino Burger: Hambúrguer, Batata Frita, Hamburgueria Delivery Fortaleza CE",4.6,4.594 comentários,"Av. Senador Virgílio Távora, 597 - Meireles, Fortaleza - CE, 60170-265",$$,,restaurante
878,Fortaleza Grill Restaurante,4.4,2.294 comentários,"R. Pereira Filgueiras, 2111 - Aldeota, Fortaleza - CE, 60160-150",$$,25 min a 1 h,restaurante
879,Restaurante Maranhão,4.2,25 comentários,"R. Rodrigues Júnior, 540 - Centro, Fortaleza - CE, 60060-000",$,,restaurante
880,Cantinho do Frango,4.7,5.414 comentários,"Rua Torres Câmara, 71 - Aldeota, Fortaleza - CE, 60150-060",$$,45 min a 2 h,restaurante
881,Baltazar Beira Mar - Baltazar Pizza Express - Barraca Baltazar,4.8,275 comentários,"Av. Beira Mar, 2661 - Meireles, Fortaleza - CE, 60165-121",Restaurante,,restaurante
882,Mistura Nordestina,4.7,45 comentários,"R. Gonçalves Lêdo, 23 - Loja 11 - Praia de Iracema, Fortaleza - CE, 60160-220",Restaurante,,restaurante
883,Villa Carneiro Bar & Restaurante,3.9,29 comentários,"R. Sen. Alencar, 1182 - Centro, Fortaleza - CE, 60030-051",$,"30 min a 1,5 h",restaurante
884,Restaurante Pôr do Sol,4.5,10 comentários,"Av. Beira Mar, 3678 - Mucuripe, Fortaleza - CE, 60165-121",Restaurante,,restaurante
885,Restaurante Boreale,4.1,7 comentários,"Av. da Abolição, 3035 - Meireles, Fortaleza - CE, 60165-081",Restaurante,,restaurante
886,Restaurante Delícias do Mar,4.6,165 comentários,"R. Frederico Borges, 372 - Meireles, Fortaleza - CE, 60175-040",$,,restaurante
887,Sabores Orgânicos,4.6,1.859 comentários,"R. Monsenhor Bruno, 1300 - Meireles, Fortaleza - CE, 60115-190",$$,"1-2,5 horas",restaurante
888,Restaurante Amuarama,4.2,59 comentários,"Av. Deputado Oswaldo Studart, 888 - Fátima, Fortaleza - CE, 60411-260",$$,,restaurante
889,Caravaggio Cucina&Vino,4.7,229 comentários,"Rua Professor Dias da Rocha, 199 - Meireles, Fortaleza - CE, 60170-310",$$$,"1,5-3,5 horas",restaurante
890,Lagar Restaurante,4.4,420 comentários,"R. Lauro Maia, 625 - Fátima, Fortaleza - CE, 60055-210",$$,,restaurante
891,Coco Bambu,4.8,2.234 comentários,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60810-060",$$$,,restaurante
892,Cozinha Mágica,4.4,89 comentários,"Av. Santos Dumont, 3130 - Aldeota, Fortaleza - CE, 60150-161",Restaurante self-service,15 min,restaurante
893,Coco Bambu Sul,4.6,12.189 comentários,"R. República da Armênia, 1154 - Parque Manibura, Fortaleza - CE, 60821-760",$$$,"1,5-3 horas",restaurante
894,Sintra Gourmet,4.8,20 comentários,"R. Joaquim Nabuco, 161 - Meireles, Fortaleza - CE, 60125-120",Restaurante self-service,30 min,restaurante
895,Nova Casa,4.5,2.960 comentários,"R. Joaquim Nabuco, 1800 - Aldeota, Fortaleza - CE, 60125-055",$$,30 min,restaurante
896,El Chancho Aldeota,4.6,3.872 comentários,"R. Leonardo Mota, 1477 - Aldeota, Fortaleza - CE, 60170-041",$$,45 min a 2 h,restaurante
897,Divina Comida,4.5,2.920 comentários,"Rua Torres Câmara, 135 - Aldeota, Fortaleza - CE, 60150-060",$$,"30 min a 1,5 h",restaurante
898,Vignoli | Silva Jatahy,4.5,1.717 comentários,"Rua Silva Jatahy, 529 - Meireles, Fortaleza - CE, 60165-070",$$$,1-2 horas,restaurante
899,K-BaB,4.8,702 comentários,"Av. Desembargador Moreira, 90 - Meireles, Fortaleza - CE, 60170-000",$$,"45 min a 1,5 h",restaurante
900,Restaurante Boa Mistura,4.5,102 comentários,"Rua Dom Joaquim, 46 - Centro, Fortaleza - CE, 60110-100",$,30 min,restaurante
901,Restaurante Aconchego do Mar,4.3,37 comentários,"Av. Dioguinho, 5810 - Vicente Pinzon, Fortaleza - CE, 60183-706",Restaurante,15-45 min,restaurante
902,Domino's Pizza,4.3,242 comentários,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-065",$$,,restaurante
903,L'Ô Restaurante,4.7,901 comentários,"Av. Pessoa Anta, 217 - Praia de Iracema, Fortaleza - CE, 60060-440",Restaurante,,restaurante
904,Restaurante Fogão150,4.0,231 comentários,"R. Barão de Aracati, 150 - Meireles, Fortaleza - CE, 60115-080",$$,,restaurante
905,Tempero do Mangue,4.4,1.771 comentários,"R. Valdir Bezerra, 100 - Sabiaguaba, Fortaleza - CE, 60835-795",$$$,,restaurante
906,La Bella Italia,4.5,1.337 comentários,"Av. Almirante Barroso, 812 - Praia de Iracema, Fortaleza - CE, 60060-440",$$,1-2 horas,restaurante
907,Restaurante Caicó Papicu,4.5,1.809 comentários,"R. Eduardo Sabóia, 228 - Papicu, Fortaleza - CE, 60175-145",$$,"30 min a 1,5 h",restaurante
908,Misaki - Restaurante Japonês Contemporâneo em Fortaleza,4.6,736 comentários,"Shopping Jardins Open Mall Avenida Desembargador Moreira, 1011 Aldeota Fortaleza CE 60170-001, Av. Desembargador Moreira, 1011 - Aldeota, Fortaleza - CE, 60160-230",$$$$,"10 min a 1,5 h",restaurante
909,Restaurante Self Service - Mosaico Restaurante,4.5,294 comentários,"R. Francisco Holanda, 609 - 706 - Dionísio Torres, Fortaleza - CE, 60130-140",$,30 min,restaurante
910,Culinária da Van,4.5,3.309 comentários,"R. Waldery Uchôa, 260 - Benfica, Fortaleza - CE, 60020-110",$$,"1-2,5 horas",restaurante
911,Le Marché,4.5,310 comentários,"Praça Pelotas, 41 - Centro, Fortaleza - CE, 60110-210",Restaurante francês,,restaurante
912,Novos Boêmios,4.7,527 comentários,"R. João Cordeiro, 219 - Meireles, Fortaleza - CE, 60110-355",$$,,restaurante
913,Aconchego Bistrô Cearense,4.5,120 comentários,"R. Dr. João Moreira, 143 - Centro, Fortaleza - CE, 60030-000",Restaurante,1-2 horas,restaurante
914,Restaurante Mareiro,4.3,53 comentários,"Av. Beira Mar, 2380 - Meireles, Fortaleza - CE, 60165-121",Restaurante,,restaurante
915,Pasto e Pizzas,4.6,704 comentários,"Av. Júlio Abreu, 160 - Varjota, Fortaleza - CE, 60160-240",Restaurante,1-2 horas,restaurante
916,Frigideira do Jonny Self Service,4.6,2.259 comentários,"R. Joaquim Nabuco, 1900 - Aldeota, Fortaleza - CE, 60125-055",$$,45 min,restaurante
917,"Cinco Sentidos Bistrô: Restaurante, Gastronomia, Drinks, Vinhos em Fortaleza CE",4.3,12 comentários,"Rua Professor Dias da Rocha, 579 - Meireles, Fortaleza - CE, 60170-310",Restaurante,"1,5-3 horas",restaurante
918,Anzio Gastronomia,4.5,517 comentários,"Travessa Acaraú, 39 - Meireles, Fortaleza - CE, 60160-180",$$,,restaurante
919,Carbone Steakhouse,4.6,532 comentários,"Av. Desembargador Moreira, 1300 - Aldeota, Fortaleza - CE, 60191-156",$$$,"1,5-2,5 horas",restaurante
920,Colosso Fortaleza,4.5,716 comentários,"Av. Hermenegildo Sá Cavalcante, s/n - Edson Queiroz, Fortaleza - CE, 60811-665",$$$$,,restaurante
921,Mangusta Restaurante e Pizzaria,4.8,77 comentários,"R. da Assunção, 1195 - José Bonifacio, Fortaleza - CE, 60040-230",Restaurante,,restaurante
922,Churrascaria JP Steakhouse Fortaleza,4.6,3.519 comentários,"Av. Beira Mar, 2500 - Loja 9 - Meireles, Fortaleza - CE, 60165-120",$$$,"1,5-3 horas",restaurante
923,Domino's Pizza,4.2,764 comentários,"Av. Treze de Maio, 825 - Fátima, Fortaleza - CE, 60040-531",$$,20 min a 1 h,restaurante
924,O Capo,4.2,318 comentários,"R. Barão de Aracati, 50 - Praia de Iracema, Fortaleza - CE, 60115-080",Restaurante italiano,,restaurante
925,Conimaki,4.2,619 comentários,"Rua Canuto de Aguiar, 1368 - Meireles, Fortaleza - CE, 60160-120",$$$,,restaurante
926,Restaurante Amaral (o goiano),4.1,53 comentários,"Av. César Cals, 953 - Vicente Pinzon, Fortaleza - CE, 60182-035",Restaurante,25 min,restaurante
927,Zoá Gastrobar,4.7,53 comentários,"R. Visc. de Mauá, 2217 - Dionísio Torres, Fortaleza - CE, 60125-161",Restaurante,45 min a 2 h,restaurante
928,Pepe nero Bistrô,4.4,366 comentários,"Av. Pres. Castelo Branco, 158 - Centro, Fortaleza - CE",$$,"45 min a 2,5 h",restaurante
929,Mar de Lima,4.8,39 comentários,"Rua Frei Mansueto, 1130 - Varjota, Fortaleza - CE, 60175-070",Restaurante,"1-2,5 horas",restaurante
930,Restaurante Fiorentina,4.0,65 comentários,"R. Osvaldo Cruz, 8 - Praia de Iracema, Fortaleza - CE, 60125-150",Restaurante,,restaurante
931,Barraca da Boa,4.2,7.976 comentários,"Av. Beira Mar, 2571 - Meireles, Fortaleza - CE, 60165-121",$$,,restaurante
932,Restaurante Sesc João Cordeiro,4.8,144 comentários,"R. João Cordeiro, 933 - Aldeota, Fortaleza - CE, 60110-301",$,30 min,restaurante
933,Restaurante Fortaleza,,,"R. Clodoaldo Arruda, 250 - Cambeba, Fortaleza - CE, 60822-375",,,restaurante
934,Bruta Flor,4.6,137 comentários,"R. Antônio Augusto, 806 - Meireles, Fortaleza - CE, 60110-370",$$,"1,5-3 horas",restaurante
935,Restaurante da Boró - Comida Caseira,5.0,2 comentários,"R. dos Aprendizes Marinheiros, 300 - Moura Brasil, Fortaleza - CE, 60015-220",Restaurante de comida caseira,,restaurante
936,Barraca Terra do Sol,4.5,6.280 comentários,"Av. Clóvis Arrais Maia, 5295 - Praia do Futuro II, Fortaleza - CE, 60182-026",$$,,restaurante
937,Restaurante Frederico,4.4,1.166 comentários,"Rua Dr. José Lourenço, 504 - Meireles, Fortaleza - CE, 60115-280",$$,,restaurante
938,Cantina Primu's,4.1,164 comentários,"R. Guilherme Rocha, 52 - Centro, Fortaleza - CE, 60030-140",$,,restaurante
939,Chale Suíça Carnes e Fondue,4.3,127 comentários,"R. Pereira Filgueiras, 1645 - Aldeota, Fortaleza - CE, 60160-150",$$$,,restaurante
940,Nem Restaurante,4.7,43 comentários,"Centro, Fortaleza - CE, 60035-130",Restaurante,,restaurante
941,Lagostinne Fortaleza,4.4,181 comentários,"Rua Frei Mansueto, 1225 - Varjota, Fortaleza - CE, 60175-157",Restaurante japonês,"1,5-2,5 horas",restaurante
942,Restaurante Le Pritaf,1.6,10 comentários,"Av. Alberto Nepomuceno, 199 - Centro, Fortaleza - CE, 60055-000",Restaurante,,restaurante
943,Restaurante Fanfan,4.6,78 comentários,"R. Meton de Alencar, 522 - Centro, Fortaleza - CE, 60030-160",Restaurante,25 min a 1 h,restaurante
944,Nhamy Nhamy Mercado Saudável,4.9,19 comentários,"Av. Viena Weyne, 370 - loja 10 - Cambeba, Fortaleza - CE, 60822-180",Restaurante,"20 min a 1,5 h",restaurante
945,De Babo Restaurante,4.6,171 comentários,"Rua do Rosário, 86 - Centro, Fortaleza - CE, 60135-050",Restaurante,,restaurante
946,Costa | Bar e Restaurante,4.5,247 comentários,"R. Costa Barros, 1199 - Aldeota, Fortaleza - CE, 60160-190",$,25 min a 1 h,restaurante
947,Restaurante Compasso Gourmet,4.5,356 comentários,"R. Pedro 1, 349 - Centro, Fortaleza - CE, 60035-100",$$,30 min,restaurante
