,NOME,PONTUACAO,COMENTARIO,LOCAL,TIPO,TEMPO_ESPERA,BUSCA_ID
677,Pão de Açúcar - Cocó,4.2,1.007 comentários,"Shopping Casa Blanca Mall, Av. Eng. Santana Jr., 2277 - Cocó, Fortaleza - CE, 60175-650",Supermercado,20 min,padaria
678,Empório Do Pão (Beni de Carvalho) (Cometa),3.4,5 comentários,"R. Beni Carvalho, 627 - Aldeota, Fortaleza - CE, 60135-400",Padaria,,padaria
679,Panebox Gourmet (Fátima),4.3,1.192 comentários,"Rua Monsenhor Otávio de Castro, 582 - Fátima, Fortaleza - CE, 60050-150",$$,20 min,padaria
680,Padaria San Remo (José Bonifácio),4.3,1.205 comentários,"R. Barão de Aratanha, 551 - José Bonifacio, Fortaleza - CE, 60050-070",$$,15 min,padaria
681,Delicias do Trigo Padaria (Farias Brito),3.9,84 comentários,"R. Rúbia Sampaio, 1155 - loja 5 - Farias Brito, Fortaleza - CE, 60360-820",Padaria,20 min,padaria
682,Padaria e confeitaria o Elias,5.0,6 comentários,"R. Caravelas - Vicente Pinzon, Fortaleza - CE, 60181-740",Padaria,,padaria
683,Alice Padaria,4.1,1.336 comentários,"Av. Castelo de Castro, 53 - Conjunto São Cristóvão, Fortaleza - CE, 60866-681",$$,15 min,padaria
684,Costa Mendes (Vila União),4.4,1.153 comentários,"R. Raul Cabral, 140 - Vila União, Fortaleza - CE, 60410-672",$$,20 min,padaria
685,Panificadora Nossa Senhora Da Guia,4.4,557 comentários,"Av. Carneiro de Mendonça, 1151 - Demócrito Rocha, Fortaleza - CE, 60440-160",Padaria,15 min,padaria
686,Padaria Pão do Chefe,4.3,7 comentários,"Rua Professor Álvaro Costa, 1210 - Vicente Pinzon, Fortaleza - CE, 60182-012",Padaria,,padaria
687,Panificadora Trigo Doce,4.2,113 comentários,"Rua Marechal Deodoro, 67 - Benfica, Fortaleza - CE, 60020-060",$$,10 min,padaria
688,Padaria e Confeitaria Pão Caseiro,4.4,70 comentários,"Av. Independência, 2185 - Quintino Cunha, Fortaleza - CE, 60345-530",Padaria,10 min,padaria
689,PANIFICADORA TOP PÃO,4.4,115 comentários,"R. 327, 25 - Conj. Ceará II, Fortaleza - CE, 60530-690",$,10 min,padaria
