NOME,PONTUACAO,COMENTARIO,LOCAL,TIPO,TEMPO_ESPERA,BUSCA_ID
The Coffee Beira Mar,4.6,111 comentários,"R. Osvaldo Cruz, 28 - Meireles, Fortaleza - CE, 60125-150",$$,,cafeteria
Mercado do Café - Benfica,4.2,3.780 comentários,"Rua Padre Francisco Pinto, 186 - Gentilândia, Fortaleza - CE, 60020-290",$$,,cafeteria
Nüsse Café,4.2,39 comentários,"R. Maria Tomásia, 521 - Aldeota, Fortaleza - CE, 60150-170",Cafeteria,"20 min a 1,5 h",cafeteria
Le Pain Le Café (Jardins Open Mall),4.5,285 comentários,"G, Av. Desembargador Moreira, 1031 - Aldeota, Fortaleza - CE, 60160-230",Cafeteria,10 min a 1 h,cafeteria
Cafeteria Plaza,4.7,11 comentários,"Av. Santos Dumont, 2626 - Aldeota, Fortaleza - CE, 60150-160",Café,,cafeteria
Go Coffee Avenida Padre Antônio Tomás,4.6,16 comentários,"Av. Padre Antônio Tomás, 2080 - Loja 03 - Aldeota, Fortaleza - CE, 60140-160",Cafeteria,,cafeteria
Brígida cafeteria,,,"R. Riachuelo, 40 A - Papicu, Fortaleza - CE, 60175-205",,,cafeteria
Acclamé Café & Patisserie,4.8,37 comentários,"Av. Viena Weyne, 370 - loja 12 - Cambeba, Fortaleza - CE, 60822-180",Cafeteria,,cafeteria
Santa Clara Cafeteria Dragão do Mar,4.6,562 comentários,"Dragão do Mar Center of Art and Culture - R. Dragão do Mar, 81 - Praia de Iracema, Fortaleza - CE, 60060-390",$$,"45 min a 1,5 h",cafeteria
Cafeteria Club Café Rituais - Shopping Iguatemi,3.9,96 comentários,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60810-060",Cafeteria,,cafeteria
Bleecker Café - Varjota,4.9,95 comentários,"R. Frederico Borges, 425 - Varjota, Fortaleza - CE, 60175-040",Cafeteria,,cafeteria
The Coffee,4.7,302 comentários,"R. Barbosa de Freitas, 1040 - Aldeota, Fortaleza - CE, 60170-021",Cafeteria,,cafeteria
Café Jangada Crepe & Tapioca,4.0,12 comentários,"Av. Beira Mar, 2361 - Meireles, Fortaleza - CE, 60165-121",Cafeteria,,cafeteria
Mais1 Café - Fortaleza Centro,4.6,14 comentários,"Av. Santos Dumont, 994 - Centro, Fortaleza - CE, 60150-160",Cafeteria,,cafeteria
Yucca Café,4.3,48 comentários,"Rua Frei Mansueto, 160 - Meireles, Fortaleza - CE, 60175-070",Bistrô,,cafeteria
Mais1 Café - Aldeota,4.8,15 comentários,"Av. Desembargador Moreira, 1800 - Aldeota, Fortaleza - CE, 60170-002",Cafeteria,,cafeteria
Confeitaria Sublime,4.5,638 comentários,"R. Eduardo Bezerra, 1276 A - São João do Tauape, Fortaleza - CE, 60130-271",$$,,cafeteria
"Go Coffee Washington Soares: Cafés, Chás, Frappes, Chocolate Quente, Cafeteria, Fortaleza CE",4.9,32 comentários,"Av. Washington Soares, 1500 - Luciano Cavalcante, Fortaleza - CE, 60810-350",Cafeteria,15 min,cafeteria
O Cafeeiro- Coffee & Bakery,3.3,47 comentários,"Av. Santos Dumont, 2284 - Manuel Dias Branco, Fortaleza - CE, 60150-161",Cafeteria,1-2 horas,cafeteria
Grão Café,4.0,3 comentários,"Edificio Medical Center - Rua Coronel Linhares, 950 - Loja 04 - Aldeota, Fortaleza - CE, 60110-260",Cafeteria,,cafeteria
Café das Artes,4.4,187 comentários,"Anexo Espaço Cultural UNIFOR - Av. Washington Soares, 1321 - Edson Queiroz, Fortaleza - CE, 60811-905",Cafeteria,,cafeteria
Fantasia Café,,,"Av. Desembargador Moreira, 629 - Meireles, Fortaleza - CE, 60110-120",,,cafeteria
Cafeteria Mio Café,,,"R. Carolina Sucupira, 400 - Aldeota, Fortaleza - CE, 60140-120",,,cafeteria
