NOME,TIPO,ENDERECO,LOCAL,PONTUACAO,NUM_COMENTARIO,TEMPO_MIN_M,TEMPO_MAX_M,TEMPO_MIN,TEMPO_MAX,BAIRRO
Cafeteria Santa Clara,Cafeteria,"R. Major Facundo, 500 - Centro, Fortaleza - CE, 60025-100",Cafeteria,4.5,37,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Bleecker Café - Aldeota,Cafeteria,"Rua Silva Paulet, 1281 - Aldeota, Fortaleza - CE, 60120-021",Cafeteria,4.7,536,25.0,120.0,0 days 00:25:00,0 days 02:00:00,Aldeota
Nupê Café,Cafeteria,"Rua Coronel Jucá, 537 - Meireles, Fortaleza - CE, 60170-288",Cafeteria,4.7,164,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Benévolo Café e Gelato,Cafeteria,"R. Ana Bilhar, 1083 - Meireles, Fortaleza - CE, 60160-110",Cafeteria,4.6,1386,20.0,90.0,0 days 00:20:00,0 days 01:30:00,Meireles
Oie Cafeteria,Cafeteria,"R. República da Armênia, 1311 - Parque Manibura, Fortaleza - CE, 60821-760",Cafeteria,4.6,145,15.0,90.0,0 days 00:15:00,0 days 01:30:00,Parque Manibura
Tipo.cc - Café e Coworking,Cafeteria,"R. José Vilar, 3040 - loja 2 - Dionísio Torres, Fortaleza - CE, 60125-001",Cafeteria,4.7,204,180.0,180.0,0 days 03:00:00,0 days 03:00:00,Dionísio Torres
Cafeteria Tres Coraçoes,Cafeteria,"Av. Washington Soares, 85 - 720a - Edson Queiroz, Fortaleza - CE, 60811-900",Cafeteria,4.3,3,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Edson Queiroz
Duckbill Fortaleza (Beira Mar),Cafeteria,"Av. Beira Mar, 2500 - Meireles, Fortaleza - CE, 60165-121 - Meireles, Fortaleza - CE, 60165-120",Cafeteria,4.2,103,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Café & Company,Cafeteria,"Av. Engenheiro Alberto Sá, 220 - Papicu, Fortaleza - CE, 60175-395",Cafeteria,5.0,2,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu
The Coffee,Cafeteria,"Av. Dom Luís, 1200 - Meireles, Fortaleza - CE, 60160-230",Cafeteria,4.3,9,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
The Coffee Beira Mar,Cafeteria,"R. Osvaldo Cruz, 28 - Meireles, Fortaleza - CE, 60125-150",Cafeteria,4.6,111,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Mercado do Café - Benfica,Cafeteria,"Rua Padre Francisco Pinto, 186 - Gentilândia, Fortaleza - CE, 60020-290",Cafeteria,4.2,3780,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Gentilândia
Nüsse Café,Cafeteria,"R. Maria Tomásia, 521 - Aldeota, Fortaleza - CE, 60150-170",Cafeteria,4.2,39,20.0,90.0,0 days 00:20:00,0 days 01:30:00,Aldeota
Le Pain Le Café (Jardins Open Mall),Cafeteria,"G, Av. Desembargador Moreira, 1031 - Aldeota, Fortaleza - CE, 60160-230",Cafeteria,4.5,285,10.0,60.0,0 days 00:10:00,0 days 01:00:00,Aldeota
Cafeteria Plaza,Cafeteria,"Av. Santos Dumont, 2626 - Aldeota, Fortaleza - CE, 60150-160",Café,4.7,11,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Go Coffee Avenida Padre Antônio Tomás,Cafeteria,"Av. Padre Antônio Tomás, 2080 - Loja 03 - Aldeota, Fortaleza - CE, 60140-160",Cafeteria,4.6,16,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Brígida cafeteria,Cafeteria,"R. Riachuelo, 40 A - Papicu, Fortaleza - CE, 60175-205",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu
Acclamé Café & Patisserie,Cafeteria,"Av. Viena Weyne, 370 - loja 12 - Cambeba, Fortaleza - CE, 60822-180",Cafeteria,4.8,37,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cambeba
Santa Clara Cafeteria Dragão do Mar,Cafeteria,"Dragão do Mar Center of Art and Culture - R. Dragão do Mar, 81 - Praia de Iracema, Fortaleza - CE, 60060-390",Cafeteria,4.6,562,45.0,90.0,0 days 00:45:00,0 days 01:30:00,Praia De Iracema
Cafeteria Club Café Rituais - Shopping Iguatemi,Cafeteria,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60810-060",Cafeteria,3.9,96,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Edson Queiroz
Bleecker Café - Varjota,Cafeteria,"R. Frederico Borges, 425 - Varjota, Fortaleza - CE, 60175-040",Cafeteria,4.9,95,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Varjota
The Coffee,Cafeteria,"R. Barbosa de Freitas, 1040 - Aldeota, Fortaleza - CE, 60170-021",Cafeteria,4.7,302,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Café Jangada Crepe & Tapioca,Cafeteria,"Av. Beira Mar, 2361 - Meireles, Fortaleza - CE, 60165-121",Cafeteria,4.0,12,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Mais1 Café - Fortaleza Centro,Cafeteria,"Av. Santos Dumont, 994 - Centro, Fortaleza - CE, 60150-160",Cafeteria,4.6,14,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Yucca Café,Cafeteria,"Rua Frei Mansueto, 160 - Meireles, Fortaleza - CE, 60175-070",Bistrô,4.3,48,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Mais1 Café - Aldeota,Cafeteria,"Av. Desembargador Moreira, 1800 - Aldeota, Fortaleza - CE, 60170-002",Cafeteria,4.8,15,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Confeitaria Sublime,Cafeteria,"R. Eduardo Bezerra, 1276 A - São João do Tauape, Fortaleza - CE, 60130-271",Cafeteria,4.5,638,0.0,0.0,0 days 00:00:00,0 days 00:00:00,São João Do Tauape
"Go Coffee Washington Soares: Cafés, Chás, Frappes, Chocolate Quente, Cafeteria, Fortaleza CE",Cafeteria,"Av. Washington Soares, 1500 - Luciano Cavalcante, Fortaleza - CE, 60810-350",Cafeteria,4.9,32,15.0,15.0,0 days 00:15:00,0 days 00:15:00,Luciano Cavalcante
O Cafeeiro- Coffee & Bakery,Cafeteria,"Av. Santos Dumont, 2284 - Manuel Dias Branco, Fortaleza - CE, 60150-161",Cafeteria,3.3,47,120.0,120.0,0 days 02:00:00,0 days 02:00:00,Manuel Dias Branco
Grão Café,Cafeteria,"Edificio Medical Center - Rua Coronel Linhares, 950 - Loja 04 - Aldeota, Fortaleza - CE, 60110-260",Cafeteria,4.0,3,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Café das Artes,Cafeteria,"Anexo Espaço Cultural UNIFOR - Av. Washington Soares, 1321 - Edson Queiroz, Fortaleza - CE, 60811-905",Cafeteria,4.4,187,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Edson Queiroz
Fantasia Café,Cafeteria,"Av. Desembargador Moreira, 629 - Meireles, Fortaleza - CE, 60110-120",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Cafeteria Mio Café,Cafeteria,"R. Carolina Sucupira, 400 - Aldeota, Fortaleza - CE, 60140-120",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Casa Bendita,Cafeteria,"Av. Rui Barbosa, 888 - Meireles, Fortaleza - CE, 60115-220",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Café Canela,Cafeteria,"Av. Dom Luís, 1233 - Aldeota, Fortaleza - CE, 60160-110",Café,3.6,7,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Akele Café,Cafeteria,"R. Lídia Brígido, 857 - loja 2 - Parque Manibura, Fortaleza - CE, 60821-800",Cafeteria,4.9,34,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Parque Manibura
Lis Café,Cafeteria,"R. Gonçalves Lêdo, 1226 - Centro, Fortaleza - CE, 60060-325",Cafeteria,5.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Atelier 1913 Cafés Especiais,Cafeteria,"R. Antônio Augusto, 744 - Meireles, Fortaleza - CE, 60110-370",Cafeteria,4.6,47,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Casa do Pão de Queijo RioMar,Cafeteria,"R. Des. Lauro Nogueira - Papicu, Fortaleza - CE, 60175-055",Café,4.0,29,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu
Santa Maria Café,Cafeteria,"Av. Pontes Vieira, 2531 - São João do Tauape, Fortaleza - CE, 60130-241",Cafeteria,2.0,4,0.0,0.0,0 days 00:00:00,0 days 00:00:00,São João Do Tauape
Coffe America,Cafeteria,"Av. Washington Soares - Edson Queiroz, Fortaleza - CE, 60811-341",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Edson Queiroz
B.LEM,Cafeteria,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60810-060",Cafeteria,4.4,299,10.0,10.0,0 days 00:10:00,0 days 00:10:00,Edson Queiroz
Vintage Coffee,Cafeteria,"R. Joaquim Lima, n:2264 - Papicu, Fortaleza - CE, 60175-005",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu
Consulado Café,Cafeteria,"Av. Bezerra de Menezes, 216 - Farias Brito, Fortaleza - CE, 60325-000",Cafeteria,4.3,1399,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Farias Brito
Benévolo Café e Gelato,Cafeteria,"Av. Monsenhor Tabosa, 688 - Centro, Fortaleza - CE, 60165-010",Cafeteria,4.5,744,30.0,90.0,0 days 00:30:00,0 days 01:30:00,Centro
Vai Café,Cafeteria,"Av. Santos Dumont, 2626 - loja 01 - Meireles, Fortaleza - CE, 60150-161",Cafeteria,4.4,14,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Grão Café e Bistrô,Cafeteria,"R. Joaquim Nabuco, 2829 - Dionísio Torres, Fortaleza - CE, 60125-121",Restaurante,4.0,8,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Dionísio Torres
Novo Café,Cafeteria,"R. João Carvalho, 800 - Aldeota, Fortaleza - CE, 60140-140",Café,3.3,6,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Don Cookies Coffee House,Cafeteria,"Rua Felino Barroso, 1001 - Fátima, Fortaleza - CE, 60050-130",Cafeteria,4.9,14,20.0,60.0,0 days 00:20:00,0 days 01:00:00,Fátima
Café Conceito Bar,Cafeteria,"Av. Beira Mar, 3958 - Praia de Iracema, Fortaleza - CE, 60060-610",Cafeteria,5.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Praia De Iracema
Rose's Cafeteria & Restaurante,Cafeteria,"R. Pedro Borges, 33 - Loja 01 - Centro, Fortaleza - CE, 60055-120",Cafeteria,4.8,18,25.0,60.0,0 days 00:25:00,0 days 01:00:00,Centro
Chez Café,Cafeteria,"Av. Viena Weyne, 330 - Cambeba, Fortaleza - CE, 60822-180",Cafeteria,4.5,366,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cambeba
Cafeteria Santa Clara Luíza Távora,Cafeteria,"Av. Santos Dumont, 1589 - Aldeota, Fortaleza - CE, 60160-150",Cafeteria,4.5,380,120.0,120.0,0 days 02:00:00,0 days 02:00:00,Aldeota
Cafe Liguria,Cafeteria,"Av. Santos Dumont - Aldeota, Fortaleza - CE, 60150-161",Cafeteria,5.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
