,NOME,TIPO,ENDERECO,LOCAL,PONTUACAO,NUM_COMENTARIO,TEMPO_MIN_M,TEMPO_MAX_M,TEMPO_MIN,TEMPO_MAX,BAIRRO,LATITUDE,LONGITUDE
0,Shopping RioMar Fortaleza,Cafeteria,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055","Shopping Center Em Fortaleza, Ceará",4.7,52356,45.0,180.0,0 days 00:45:00,0 days 03:00:00,Papicu,-3.742328615642,-38.471450178313
1,Greta Café,Cafeteria,"Av. Antônio Sales, 2960 - Dionísio Torres, Fortaleza - CE, 60135-102",Cafeteria,4.7,1094,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Dionísio Torres,-3.747023993054,-38.497650035889
2,Bardo Café,Cafeteria,"R. Amélia Benebien, 471 - Papicu, Fortaleza - CE, 60176-010",Cafeteria,4.9,22,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu,-3.737813047755,-38.47687594477
3,"Go Coffee: Cafés, Chás, Frappes, Chocolate Quente, Cafeteria, Fortaleza CE",Cafeteria,"R. Pereira Valente, 578 - Meireles, Fortaleza - CE, 60160-250",Cafeteria,4.6,62,10.0,10.0,0 days 00:10:00,0 days 00:10:00,Meireles,-3.732479002202,-38.49704997544
4,Le Pain Le Café | Aldeota,Cafeteria,"Rua Professor Dias da Rocha, 670 - Meireles, Fortaleza - CE, 60170-310",Cafeteria,4.4,1277,20.0,90.0,0 days 00:20:00,0 days 01:30:00,Meireles,-3.735361999709,-38.491679019524
5,Cafeteria Club Café Santa Clara,Cafeteria,"Rua Desembargador Lauro Nogueira, 1500 Piso L2 Quiosque 210 - Papicu, Fortaleza - CE, 60175-055",Cafeteria,4.0,25,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu,-3.742328615642,-38.471450178313
6,Casa Bauducco,Cafeteria,"R. Des. Lauro Nogueira, 1500 - loja 1046 - Papicu, Fortaleza - CE, 60175-055",Cafeteria,4.7,201,10.0,10.0,0 days 00:10:00,0 days 00:10:00,Papicu,-3.742328615642,-38.471450178313
7,Café Cultive,Cafeteria,"R. Maria Tomásia, 1276 - Aldeota, Fortaleza - CE, 60150-170",Cafeteria,4.5,695,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.737885067804,-38.490061772954
8,Torra Café,Cafeteria,"Rua Marcos Macêdo, 827 - Aldeota, Fortaleza - CE, 60150-190",Cafeteria,4.8,452,120.0,120.0,0 days 02:00:00,0 days 02:00:00,Aldeota,-3.734375988948,-38.497447387718
9,Cafeteria Club Café Santa Clara Reserva da Família - RioMar Fortaleza,Cafeteria,"Pça de Alimentação (Q304 - Rua Desembargador Lauro Nogueira, 1500 - Piso L3, R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",Cafeteria,4.1,169,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu,-3.742328615642,-38.471450178313
10,Amika Coffeehouse,Cafeteria,"Av. Desembargador Moreira, 2689 - Dionísio Torres, Fortaleza - CE, 60170-172",Cafeteria,4.8,957,30.0,90.0,0 days 00:30:00,0 days 01:30:00,Dionísio Torres,-3.74920500617,-38.502440964106
11,DOLCE GRÃO Cafeteria,Cafeteria,"Av. Antônio Sales, 3410 - Cocó, Fortaleza - CE, 60810-350",Cafeteria,4.5,55,45.0,45.0,0 days 00:45:00,0 days 00:45:00,Cocó,-3.747984014334,-38.494214964329
