NOME,PONTUACAO,LOCAL,ESTABELECIMENTO,ESTABELECIMENTO,NUM_COMENTARIO,TEMPO_MIN,TEMPO_MAX
Café & Company,5.0,"Av. Engenheiro Alberto Sá, 220 - Papicu, Fortaleza - CE, 60175-395",Cafeteria,cafeteria,2,0.0,0.0
The Coffee,4.3,"Av. Dom Luís, 1200 - Meireles, Fortaleza - CE, 60160-230",Cafeteria,cafeteria,9,0.0,0.0
The Coffee Beira Mar,4.6,"R. Osvaldo Cruz, 28 - Meireles, Fortaleza - CE, 60125-150",$$,cafeteria,111,0.0,0.0
Mercado do Café - Benfica,4.2,"Rua Padre Francisco Pinto, 186 - Gentilândia, Fortaleza - CE, 60020-290",$$,cafeteria,3.780,0.0,0.0
Nüsse Café,4.2,"R. Maria Tomásia, 521 - Aldeota, Fortaleza - CE, 60150-170",Cafeteria,cafeteria,39,20.0,20.0
Le Pain Le Café (Jardins Open Mall),4.5,"G, Av. Desembargador Moreira, 1031 - Aldeota, Fortaleza - CE, 60160-230",Cafeteria,cafeteria,285,10.0,10.0
Cafeteria Plaza,4.7,"Av. Santos Dumont, 2626 - Aldeota, Fortaleza - CE, 60150-160",Café,cafeteria,11,0.0,0.0
Go Coffee Avenida Padre Antônio Tomás,4.6,"Av. Padre Antônio Tomás, 2080 - Loja 03 - Aldeota, Fortaleza - CE, 60140-160",Cafeteria,cafeteria,16,0.0,0.0
"Coco Bambu Coffee Break: Cafés, Padaria, Restaurante, Drive Thru, Fortaleza CE",4.6,"R. Barão de Aracati, 1060 - Aldeota, Fortaleza - CE, 60115-081",$$$,cafeteria,584,30.0,30.0
Brígida cafeteria,0.0,"R. Riachuelo, 40 A - Papicu, Fortaleza - CE, 60175-205",,cafeteria,0,0.0,0.0
Acclamé Café & Patisserie,4.8,"Av. Viena Weyne, 370 - loja 12 - Cambeba, Fortaleza - CE, 60822-180",Cafeteria,cafeteria,37,0.0,0.0
Santa Clara Cafeteria Dragão do Mar,4.6,"Dragão do Mar Center of Art and Culture - R. Dragão do Mar, 81 - Praia de Iracema, Fortaleza - CE, 60060-390",$$,cafeteria,562,45.0,45.0
Cafeteria Club Café Rituais - Shopping Iguatemi,3.9,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60810-060",Cafeteria,cafeteria,96,0.0,0.0
Bleecker Café - Varjota,4.9,"R. Frederico Borges, 425 - Varjota, Fortaleza - CE, 60175-040",Cafeteria,cafeteria,95,0.0,0.0
The Coffee,4.7,"R. Barbosa de Freitas, 1040 - Aldeota, Fortaleza - CE, 60170-021",Cafeteria,cafeteria,302,0.0,0.0
Café Jangada Crepe & Tapioca,4.0,"Av. Beira Mar, 2361 - Meireles, Fortaleza - CE, 60165-121",Cafeteria,cafeteria,12,0.0,0.0
Mais1 Café - Fortaleza Centro,4.6,"Av. Santos Dumont, 994 - Centro, Fortaleza - CE, 60150-160",Cafeteria,cafeteria,14,0.0,0.0
Yucca Café,4.3,"Rua Frei Mansueto, 160 - Meireles, Fortaleza - CE, 60175-070",Bistrô,cafeteria,48,0.0,0.0
Mais1 Café - Aldeota,4.8,"Av. Desembargador Moreira, 1800 - Aldeota, Fortaleza - CE, 60170-002",Cafeteria,cafeteria,15,0.0,0.0
Confeitaria Sublime,4.5,"R. Eduardo Bezerra, 1276 A - São João do Tauape, Fortaleza - CE, 60130-271",$$,cafeteria,638,0.0,0.0
"Go Coffee Washington Soares: Cafés, Chás, Frappes, Chocolate Quente, Cafeteria, Fortaleza CE",4.9,"Av. Washington Soares, 1500 - Luciano Cavalcante, Fortaleza - CE, 60810-350",Cafeteria,cafeteria,32,15.0,15.0
O Cafeeiro- Coffee & Bakery,3.3,"Av. Santos Dumont, 2284 - Manuel Dias Branco, Fortaleza - CE, 60150-161",Cafeteria,cafeteria,47,0.0,0.0
Grão Café,4.0,"Edificio Medical Center - Rua Coronel Linhares, 950 - Loja 04 - Aldeota, Fortaleza - CE, 60110-260",Cafeteria,cafeteria,3,0.0,0.0
Café das Artes,4.4,"Anexo Espaço Cultural UNIFOR - Av. Washington Soares, 1321 - Edson Queiroz, Fortaleza - CE, 60811-905",Cafeteria,cafeteria,187,0.0,0.0
Fantasia Café,0.0,"Av. Desembargador Moreira, 629 - Meireles, Fortaleza - CE, 60110-120",,cafeteria,0,0.0,0.0
Cafeteria Mio Café,0.0,"R. Carolina Sucupira, 400 - Aldeota, Fortaleza - CE, 60140-120",,cafeteria,0,0.0,0.0
Casa Bendita,0.0,"Av. Rui Barbosa, 888 - Meireles, Fortaleza - CE, 60115-220",,cafeteria,0,0.0,0.0
Café Canela,3.6,"Av. Dom Luís, 1233 - Aldeota, Fortaleza - CE, 60160-110",Café,cafeteria,7,0.0,0.0
Akele Café,4.9,"R. Lídia Brígido, 857 - loja 2 - Parque Manibura, Fortaleza - CE, 60821-800",Cafeteria,cafeteria,34,0.0,0.0
