NOME,PONTUACAO,LOCAL,ESTABELECIMENTO,ESTABELECIMENTO,NUM_COMENTARIO,TEMPO_MIN,TEMPO_MAX
Madocinhos,5.0,"Rua Governador Sampaio - Centro, Fortaleza - CE, 60055-050",Lanchonete,cafeteria,3,0.0,0.0
Tortelê,0.0,"R. Des. Lauro Nogueira - Papicu, Fortaleza - CE, 60175-055",,cafeteria,0,0.0,0.0
Le Pain Le Café Boulangerie,4.5,"R. Monsenhor Catão, 1430 - Aldeota, Fortaleza - CE, 60175-000",Cafeteria,cafeteria,180,0.0,0.0
Catarina Cafe,5.0,"Av. Eng. Santana Jr., 999 - Papicu, Fortaleza - CE, 60175-652",Cafeteria,cafeteria,42,0.0,0.0
Panebox Gourmet (Fátima),4.3,"Rua Monsenhor Otávio de Castro, 582 - Fátima, Fortaleza - CE, 60050-150",$$,cafeteria,1.192,20.0,20.0
Le Caféine,0.0,"Av Santos Dumont 3130 Quiosque 102, Piso 1, Fortaleza - CE, 60150-162",,cafeteria,0,0.0,0.0
Ponto do Guaraná e Cafeteria,5.0,"R. Barão de Aracati, 886 - Aldeota, Fortaleza - CE, 60115-081",Lanchonete,cafeteria,3,0.0,0.0
Moncloa Tea Boutique,4.8,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-065",Loja de chás,cafeteria,20,0.0,0.0
Sablé Diamant,4.6,"Rua Dr. José Lourenço, 1414 - Aldeota, Fortaleza - CE, 60115-280",$$$,cafeteria,1.073,0.0,0.0
JN Bolos e Confeitaria,0.0,"Rua Solon Pinheiro, 180 - Centro, Fortaleza - CE, 60050-040",,cafeteria,0,0.0,0.0
"Coco Bambu Coffee Break: Cafés, Padaria, Restaurante, Drive Thru, Fortaleza CE",4.6,"R. Barão de Aracati, 1060 - Aldeota, Fortaleza - CE, 60115-081",$$$,cafeteria,584,30.0,30.0
Shopping RioMar Fortaleza,4.7,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055","Shopping center em Fortaleza, Ceará",cafeteria,52.357,45.0,45.0
Espaço Vida Saudável Fit Lounge Bem Fica,4.9,"R. da Assunção, 1189 - José Bonifacio, Fortaleza - CE, 60050-011",Casa de chá tradicional,cafeteria,14,0.0,0.0
Mais1 Café - Fortaleza,4.8,"R. Vicente Leite, 876 - Meireles, Fortaleza - CE, 60170-150",Cafeteria,cafeteria,22,0.0,0.0
Pâine Croissanterie,4.3,"R. Des. Lauro Nogueira - Papicu, Fortaleza - CE, 60175-055",Patisserie,cafeteria,20,0.0,0.0
Monstera Café Cultural,5.0,"Av. Pontes Vieira, 417 - Dionísio Torres, Fortaleza - CE, 60130-240",Café,cafeteria,3,0.0,0.0
Café Passeio,4.5,"Passeio Público - R. Dr. João Moreira - Centro, Fortaleza - CE, 60030-000",$$,cafeteria,1.044,45.0,45.0
Vibe café,3.7,"Rua Manuel Queirós, 511A - Cocó, Fortaleza - CE, 60192-220",Cafeteria,cafeteria,7,0.0,0.0
Empório Brownie,4.4,"R. Carapinima, 2200 - Benfica, Fortaleza - CE, 60015-290",Padaria,cafeteria,22,0.0,0.0
CAFE CARAMELLO FORTALEZA - DISTRIBUIDORA,5.0,"R. Tibúrcio Cavalcante, 1675 - Meireles, Fortaleza - CE, 60125-045",Café,cafeteria,Umcomentário,0.0,0.0
Cheirim Bão,0.0,"Av. Santos Dumont, 3131 - Aldeota, Fortaleza - CE, 60150-162",,cafeteria,0,0.0,0.0
D’ellas Cafeteria,4.4,"Rua Torres Câmara, 181 - Aldeota, Fortaleza - CE, 60150-060",Café,cafeteria,8,0.0,0.0
Empório do Cacau Brasil,5.0,"R. Sen. Pompeu, 2610 - loja 17 - José Bonifacio, Fortaleza - CE, 60025-001",Cafeteria,cafeteria,7,0.0,0.0
Café Santa Clara,0.0,"Av. Washington Soares, 85 - Loja 68 - Messejana, Fortaleza - CE, 60810-350",,cafeteria,0,0.0,0.0
cafe dek porronda,0.0,"R. Barão do Rio Branco, 1006 - Centro, Fortaleza - CE, 60025-060",,cafeteria,0,0.0,0.0
Loja Ostara,5.0,"R. Castro e Silva, 401 - Centro, Fortaleza - CE, 60030-010",Sorveteria,cafeteria,Umcomentário,0.0,0.0
Trino Café Montese | Sua cafeteria no Montese,4.8,"R. Edite Braga, 1310 - Montese, Fortaleza - CE, 60410-222",Café,cafeteria,221,0.0,0.0
Tortelê - Riomar Fortaleza,0.0,"Rua Desembargador Lauro Nogueira 1500, Piso L2 2052 - Papicu, Fortaleza - CE, 60175-055",Confeitaria,cafeteria,0,15.0,15.0
Café Aurora,5.0,"Alameda das Boas Noites, 333A - Cidade 2000, Fortaleza - CE, 60190-180",Café,cafeteria,Umcomentário,0.0,0.0
Vibe 085,4.6,"Rua Manuel Queirós, 511 - Cocó, Fortaleza - CE, 60192-220",$$,cafeteria,172,0.0,0.0
Launic caralem,0.0,"Av. das Graviolas, 1000 - Cidade 2000, Fortaleza - CE, 60190-560",,cafeteria,0,0.0,0.0
"Emporio, café, almoço.",0.0,"Av. Dioguinho, 4792-4800 - Vicente Pinzon, Fortaleza - CE, 60182-125",,cafeteria,0,0.0,0.0
"Coco Bambu Coffee Break: Cafés, Padaria, Restaurante, Drive Thru, Fortaleza CE",4.6,"R. Barão de Aracati, 1060 - Aldeota, Fortaleza - CE, 60115-081",$$$,cafeteria,584,30.0,30.0
Shopping RioMar Fortaleza,4.7,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055","Shopping center em Fortaleza, Ceará",cafeteria,52.357,45.0,45.0
Cafe Marita FORTALEZA CE,5.0,"R. Alagoas, 1169 - Demócrito Rocha, Fortaleza - CE, 60440-150",Loja de produtos naturais,cafeteria,2,0.0,0.0
Bento Cafeteria e Rostisseria,5.0,"Rua Padre Valdevino, 1138 - Aldeota, Fortaleza - CE, 60135-040",Restaurante,cafeteria,5,0.0,0.0
Boutique do Café,4.3,"Av. Leste Oeste, 3569 - Cristo Redentor, Fortaleza - CE, 60010-450",Café,cafeteria,26,0.0,0.0
ELO COZINHA AFETIVA,5.0,"Rua Torres Câmara, 100 - Aldeota, Fortaleza - CE, 60150-060",Cafeteria,cafeteria,22,0.0,0.0
Lindt,0.0,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-065",Chocolateria,cafeteria,0,10.0,10.0
Livraria Lamarca,4.7,"Av. da Universidade, 2475 - Benfica, Fortaleza - CE, 60020-180",Livraria,cafeteria,752,0.0,0.0
Fortaleza,0.0,"Vila Bachá, 15 - Meireles, Fortaleza - CE, 60160-050",,cafeteria,0,0.0,0.0
Guanabara Pastelaria,4.7,"R. Major Facundo, 1003 - Centro, Fortaleza - CE, 60025-100",$,cafeteria,505,20.0,20.0
Bistrô da Silvestre,0.0,"Centro, Fortaleza - CE, 60055-080",,cafeteria,0,0.0,0.0
LeCafé,0.0,"R. Gen. Clarindo de Queiroz, 1745 - Box 350 - Farias Brito, Fortaleza - CE, 60010-250",,cafeteria,0,0.0,0.0
Candyman bolos e doces,5.0,"Alameda das Crisadálias - Cidade 2000, Fortaleza - CE, 60190-380",Confeitaria,cafeteria,6,0.0,0.0
Leão do Sul Pastelaria,4.2,"R. Pedro Borges, 193 - Centro, Fortaleza - CE, 60055-110",$$,cafeteria,454,20.0,20.0
Café Com Óculos,4.0,"R. Ildefonso Albano, 1445 - Aldeota, Fortaleza - CE, 60115-000","Ótica em Fortaleza, Ceará",cafeteria,8,0.0,0.0
Rs Panificadora,4.6,"R. Paulo Mendes, 308 - Antonio Diogo, Fortaleza - CE, 60182-410",Padaria,cafeteria,9,0.0,0.0
Mercantinho,4.8,"Av. Visconde do Rio Branco, 2412 - José Bonifacio, Fortaleza - CE, 60110-001",Supermercado,cafeteria,4,0.0,0.0
Brazilian Coffee,0.0,"R. Carapinima, 2200 - 139 - Benfica, Fortaleza - CE, 60015-329","Loja de departamento em Fortaleza, Ceará",cafeteria,0,0.0,0.0
Cafe Caramello C.D.,5.0,"R. Tibúrcio Cavalcante - Fortaleza, CE, 60125-045",Café,cafeteria,2,0.0,0.0
Café Nordeste,4.0,"Rua Tigipió, 33 - Praia de Iracema, Fortaleza - CE, 60060-420",Café,cafeteria,4,0.0,0.0
Indie Bistrô & Arte,4.5,"R. Marcondes Pereira, 43 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60130-060",$$,cafeteria,110,0.0,0.0
Ôxximydog,5.0,"R. Raimundo Arruda, 64 - Parquelândia, Fortaleza - CE, 60450-500",Restaurante,restaurante,4,0.0,0.0
Restaurante Mariano da Picanha,4.0,"Av. Monsenhor Tabosa, 1712 - Meireles, Fortaleza - CE, 60165-010",$$,restaurante,1.231,0.0,0.0
"Camarada Camarão: Camarões, Peixes, Happy Hour, Restaurante, Fortaleza CE",4.5,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",$$$,restaurante,867,45.0,45.0
Cabaña Del Primo - Restaurante de Carnes em Fortaleza,4.6,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-065",$$$,restaurante,823,5.0,5.0
Divino Fogão - Riomar Fortaleza,4.2,"Rua Desembargador Lauro Nogueira, 1500 piso L3 sala coml 3030 - Papicu, Fortaleza - CE, 60176-065",$$,restaurante,667,0.0,0.0
Hard Rock Cafe,4.7,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",$$$,restaurante,5.290,10.0,10.0
Delicias da Iaiá,4.4,"Rua Dr. Ribamar Lobo, N° 20 - Papicu, Fortaleza - CE, 60176-145",Restaurante brasileiro,restaurante,5,45.0,45.0
Cocina 378,4.7,"R. Vilebaldo Aguiar, 378 - Cocó, Fortaleza - CE, 60192-010",$$$,restaurante,510,0.0,0.0
Quintal Restaurante,4.6,"Av. Desembargador Moreira, 533 - Meireles, Fortaleza - CE, 60170-000",$$$,restaurante,350,45.0,45.0
Cemoara Restaurante,4.4,"R. Joaquim Nabuco, 166 - Meireles, Fortaleza - CE, 60125-120",Restaurante de frutos do mar,restaurante,54,0.0,0.0
Santa Grelha,4.7,"R. Tibúrcio Cavalcante, 790 - Meireles, Fortaleza - CE, 60125-100",$$$,restaurante,1.799,0.0,0.0
Cabaña Del Primo,4.7,"R. Maria Tomásia, 503 - Aldeota, Fortaleza - CE, 60170-001",$$$,restaurante,1.313,10.0,10.0
Balcony Bistro,4.8,"R. Frederico Borges, 616 - Meireles, Fortaleza - CE, 60175-040",$$,restaurante,227,0.0,0.0
Restaurante Mucuripe,4.6,"Av. Beira Mar, 3980 - Mucuripe, Fortaleza - CE, 60165-121",Restaurante de frutos do mar,restaurante,189,0.0,0.0
Restaurante Marquês da Varjota,4.6,"R. Frederico Borges, 426 - Meireles, Fortaleza - CE, 60175-040",$$$,restaurante,1.114,0.0,0.0
Restaurante 44,4.4,"R. Joaquim Nabuco, 1224 - Aldeota, Fortaleza - CE, 60125-055",$$,restaurante,522,30.0,30.0
"Butcher's 746: Steakhouse, Carnes Nobres, Churrasco, Delivery, Restaurante, Fortaleza CE",4.6,"R. Maria Tomásia, 746 - Aldeota, Fortaleza - CE, 60150-170",$$$,restaurante,699,0.0,0.0
Casa Beá Restaurante,4.3,"Av. Desembargador Moreira, 615 A - Meireles, Fortaleza - CE, 60170-055",Restaurante,restaurante,82,0.0,0.0
Pipo Restaurante,4.6,"R. Manoel Lourenço dos Santos, 399 - São João do Tauape, Fortaleza - CE, 60135-450",$$$,restaurante,1.367,0.0,0.0
Vasto Restaurante,4.8,"Av. Senador Virgílio Távora, 511 - Meireles, Fortaleza - CE, 60170-251",Restaurante,restaurante,374,0.0,0.0
Madero Steak House Riomar Fortaleza,4.5,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",$$$,restaurante,2.374,10.0,10.0
Restaurante Lima 21 - Gastronomia Peruana,4.6,"Rua Silva Jatahy, 505 - Meireles, Fortaleza - CE, 60165-070",Restaurante peruano,restaurante,243,0.0,0.0
Ôxximydog,5.0,"R. Raimundo Arruda, 64 - Parquelândia, Fortaleza - CE, 60450-500",Restaurante,restaurante,4,0.0,0.0
Restaurante Mariano da Picanha,4.0,"Av. Monsenhor Tabosa, 1712 - Meireles, Fortaleza - CE, 60165-010",$$,restaurante,1.231,0.0,0.0
Restaurante Mayú,4.9,"Senac Reference - Av. Desembargador Moreira, 1301 - 4º andar - Aldeota, Fortaleza - CE, 60170-001",Restaurante,restaurante,186,0.0,0.0
ZOI Restaurante,4.6,"Av. Hermenegildo Sá Cavalcante, s/n - Edson Queiroz, Fortaleza - CE, 60811-905",Restaurante,restaurante,772,0.0,0.0
Tilápia Restaurante,4.9,"R. Eliseu Uchôa Beco, 450 - Guararapes, Fortaleza - CE, 60810-270",Restaurante,restaurante,200,0.0,0.0
Casa Fontana,4.5,"R. Bento Albuquerque, 1976 - Cocó, Fortaleza - CE, 60192-050",Restaurante,restaurante,111,0.0,0.0
Moranga Bistrô,4.5,"R. Xavier de Castro, 100 - Praia de Iracema, Fortaleza - CE, 60060-660",$$$$,restaurante,710,0.0,0.0
Casa Nostra | Restaurante Italiano,4.6,"Av. Senador Virgílio Távora, 1800 - Dionísio Torres, Fortaleza - CE, 60170-251",$$,restaurante,1.203,0.0,0.0
Moleskine Gastrobar,4.7,"Rua Professor Dias da Rocha, 578 - Meireles, Fortaleza - CE, 60170-310",$$$,restaurante,3.009,0.0,0.0
Marcel Restaurante.,4.6,"Av. Historiador Raimundo Girão, 800 - Praia de Iracema, Fortaleza - CE, 60165-050",Restaurante francês,restaurante,117,0.0,0.0
Sabor de Mar,4.2,"Av. Desembargador Moreira, 256 - Meireles, Fortaleza - CE, 60170-000",$$,restaurante,148,45.0,45.0
Dom Antunes Steakhouse: Restaurante de Carnes Nobres Aldeota Fortaleza,4.4,"Rua Frei Mansueto, 1560 - Aldeota, Fortaleza - CE, 60175-082",$$,restaurante,1.396,0.0,0.0
Riô - drinks & comida,4.9,"Rua Frei Mansueto, 662 - Meireles, Fortaleza - CE, 60175-070",Restaurante brasileiro,restaurante,11,0.0,0.0
Giz Cozinha Boêmia,4.6,"Rua Professor Dias da Rocha, 579 - Meireles, Fortaleza - CE, 60170-310",Restaurante brasileiro,restaurante,1.583,0.0,0.0
Geppos Praia - Restaurante na Praia de Iracema,4.4,"Av. Beira Mar, 3222 - Meireles, Fortaleza - CE, 60165-121",$$,restaurante,3.201,0.0,0.0
Restaurante Moqueca,4.8,"Rua Pescador Chico Bindá, 318 - Vicente Pinzon, Fortaleza - CE, 60181-160",Restaurante de frutos do mar,restaurante,16,0.0,0.0
Coco Bambu Beira Mar,4.6,"Av. Beira Mar, 3698 - Beira Mar, Fortaleza - CE, 60165-121",$$$,restaurante,18.692,0.0,0.0
Amarú Restaurante,4.4,"R. Mario Mamede, 932 - Fátima, Fortaleza - CE, 60411-170",$$,restaurante,1.299,25.0,25.0
Restaurante Rei do Baião,4.5,"Av. Heráclito Graça, 699 - Centro, Fortaleza - CE, 60140-061",$$,restaurante,1.367,30.0,30.0
Restaurante Renascença,4.5,"Rua General Tertuliano Potiguara, 570 - Aldeota, Fortaleza - CE, 60135-280",$$,restaurante,282,45.0,45.0
Restaurante Mariano da Picanha,4.0,"Av. Monsenhor Tabosa, 1712 - Meireles, Fortaleza - CE, 60165-010",$$,restaurante,1.231,0.0,0.0
Coco Bambu Meireles,4.6,"Rua Canuto de Aguiar, 1317 - Meireles, Fortaleza - CE, 60160-120",$$$,restaurante,10.689,0.0,0.0
Ôxximydog,5.0,"R. Raimundo Arruda, 64 - Parquelândia, Fortaleza - CE, 60450-500",Restaurante,restaurante,4,0.0,0.0
Restaurante Mariano da Picanha,4.0,"Av. Monsenhor Tabosa, 1712 - Meireles, Fortaleza - CE, 60165-010",$$,restaurante,1.231,0.0,0.0
Restaurante da Zena,4.5,"R. Meton de Alencar, 549 - Centro, Fortaleza - CE, 60035-160",$$,restaurante,2.004,25.0,25.0
Cervejaria Turatti,4.4,"R. Ana Bilhar, 1178 - Varjota, Fortaleza - CE, 60160-110",$$,restaurante,3.042,0.0,0.0
RAIZ Cozinha Brasileira,4.4,"Av. Washington Soares, 3300 - Edson Queiroz, Fortaleza - CE, 60810-350",$$,restaurante,1.185,0.0,0.0
Restaurante Ubajara,4.1,"R. Pinto Madeira, 600 - Centro, Fortaleza - CE, 60150-000",$,restaurante,267,25.0,25.0
Restaurante La Fiorelli,3.9,"Centro, Fortaleza - CE, 60025-100",Restaurante,restaurante,30,0.0,0.0
Giappone Sushibar,4.1,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",Restaurante de sushi,restaurante,33,0.0,0.0
Vignoli Fortaleza – Virgílio Távora,4.5,"Av. Senador Virgílio Távora, 10 - Meireles, Fortaleza - CE, 60822-150",$$$,restaurante,2.527,0.0,0.0
Ryori Buganvília,4.5,"Av. Dom Luís, 1113 - Meireles, Fortaleza - CE, 60160-230",$$$,restaurante,668,0.0,0.0
Ponza Frutos do Mar,3.7,"R. Vicente Leite, 520 - Loja 01 - Meireles, Fortaleza - CE, 60170-150",Restaurante mediterrâneo,restaurante,19,0.0,0.0
RESTAURANTE FINNA MISTURA,4.2,"Av. Beira Mar - Meireles, Fortaleza - CE, 60165-121",Restaurante self-service,restaurante,25,0.0,0.0
Mistura Cearense,4.4,"R. da Assunção, 119 - Centro, Fortaleza - CE, 60050-010",Restaurante self-service,restaurante,179,30.0,30.0
Balcone,4.6,"R. Osvaldo Cruz, 919 - Meireles, Fortaleza - CE, 60125-048",$$$,restaurante,1.602,0.0,0.0
Restaurante Philó,4.6,"Rua Silva Paulet, 958 - Meireles, Fortaleza - CE, 60120-020",$$,restaurante,222,30.0,30.0
Vila Mosquito,4.5,"R. Antônio Augusto, 786 - Meireles, Fortaleza - CE, 60110-370",$$$,restaurante,1.120,0.0,0.0
Restaurante Estação do marisco Fortaleza Ceará,5.0,"R. Frederico Borges, 404 - Meireles, Fortaleza - CE, 60175-040",Restaurante de frutos do mar,restaurante,20,0.0,0.0
Flor de Sal,3.7,"esquina com - Rua Osvaldo Cruz, Av. Beira Mar, n 08 - Meireles, Fortaleza - CE, 60125-150",$$,restaurante,688,0.0,0.0
"Porpino Burger: Hambúrguer, Batata Frita, Hamburgueria Delivery Fortaleza CE",4.6,"Av. Senador Virgílio Távora, 597 - Meireles, Fortaleza - CE, 60170-265",$$,restaurante,4.594,0.0,0.0
Fortaleza Grill Restaurante,4.4,"R. Pereira Filgueiras, 2111 - Aldeota, Fortaleza - CE, 60160-150",$$,restaurante,2.294,25.0,25.0
Restaurante Maranhão,4.2,"R. Rodrigues Júnior, 540 - Centro, Fortaleza - CE, 60060-000",$,restaurante,25,0.0,0.0
Cantinho do Frango,4.7,"Rua Torres Câmara, 71 - Aldeota, Fortaleza - CE, 60150-060",$$,restaurante,5.414,45.0,45.0
Baltazar Beira Mar - Baltazar Pizza Express - Barraca Baltazar,4.8,"Av. Beira Mar, 2661 - Meireles, Fortaleza - CE, 60165-121",Restaurante,restaurante,275,0.0,0.0
Restaurante Mariano da Picanha,4.0,"Av. Monsenhor Tabosa, 1712 - Meireles, Fortaleza - CE, 60165-010",$$,restaurante,1.231,0.0,0.0
Mistura Nordestina,4.7,"R. Gonçalves Lêdo, 23 - Loja 11 - Praia de Iracema, Fortaleza - CE, 60160-220",Restaurante,restaurante,45,0.0,0.0
Villa Carneiro Bar & Restaurante,3.9,"R. Sen. Alencar, 1182 - Centro, Fortaleza - CE, 60030-051",$,restaurante,29,30.0,30.0
Restaurante Pôr do Sol,4.5,"Av. Beira Mar, 3678 - Mucuripe, Fortaleza - CE, 60165-121",Restaurante,restaurante,10,0.0,0.0
Restaurante Boreale,4.1,"Av. da Abolição, 3035 - Meireles, Fortaleza - CE, 60165-081",Restaurante,restaurante,7,0.0,0.0
Restaurante Delícias do Mar,4.6,"R. Frederico Borges, 372 - Meireles, Fortaleza - CE, 60175-040",$,restaurante,165,0.0,0.0
Sabores Orgânicos,4.6,"R. Monsenhor Bruno, 1300 - Meireles, Fortaleza - CE, 60115-190",$$,restaurante,1.859,0.0,0.0
Restaurante Amuarama,4.2,"Av. Deputado Oswaldo Studart, 888 - Fátima, Fortaleza - CE, 60411-260",$$,restaurante,59,0.0,0.0
Caravaggio Cucina&Vino,4.7,"Rua Professor Dias da Rocha, 199 - Meireles, Fortaleza - CE, 60170-310",$$$,restaurante,229,0.0,0.0
Lagar Restaurante,4.4,"R. Lauro Maia, 625 - Fátima, Fortaleza - CE, 60055-210",$$,restaurante,420,0.0,0.0
Coco Bambu,4.8,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60810-060",$$$,restaurante,2.234,0.0,0.0
Cozinha Mágica,4.4,"Av. Santos Dumont, 3130 - Aldeota, Fortaleza - CE, 60150-161",Restaurante self-service,restaurante,89,15.0,15.0
Coco Bambu Sul,4.6,"R. República da Armênia, 1154 - Parque Manibura, Fortaleza - CE, 60821-760",$$$,restaurante,12.189,0.0,0.0
Sintra Gourmet,4.8,"R. Joaquim Nabuco, 161 - Meireles, Fortaleza - CE, 60125-120",Restaurante self-service,restaurante,20,30.0,30.0
Nova Casa,4.5,"R. Joaquim Nabuco, 1800 - Aldeota, Fortaleza - CE, 60125-055",$$,restaurante,2.960,30.0,30.0
El Chancho Aldeota,4.6,"R. Leonardo Mota, 1477 - Aldeota, Fortaleza - CE, 60170-041",$$,restaurante,3.872,45.0,45.0
Divina Comida,4.5,"Rua Torres Câmara, 135 - Aldeota, Fortaleza - CE, 60150-060",$$,restaurante,2.920,30.0,30.0
Vignoli | Silva Jatahy,4.5,"Rua Silva Jatahy, 529 - Meireles, Fortaleza - CE, 60165-070",$$$,restaurante,1.717,0.0,0.0
K-BaB,4.8,"Av. Desembargador Moreira, 90 - Meireles, Fortaleza - CE, 60170-000",$$,restaurante,702,45.0,45.0
Restaurante Boa Mistura,4.5,"Rua Dom Joaquim, 46 - Centro, Fortaleza - CE, 60110-100",$,restaurante,102,30.0,30.0
Restaurante Aconchego do Mar,4.3,"Av. Dioguinho, 5810 - Vicente Pinzon, Fortaleza - CE, 60183-706",Restaurante,restaurante,37,45.0,45.0
Restaurante Mariano da Picanha,4.0,"Av. Monsenhor Tabosa, 1712 - Meireles, Fortaleza - CE, 60165-010",$$,restaurante,1.231,0.0,0.0
Domino's Pizza,4.3,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-065",$$,restaurante,242,0.0,0.0
L'Ô Restaurante,4.7,"Av. Pessoa Anta, 217 - Praia de Iracema, Fortaleza - CE, 60060-440",Restaurante,restaurante,901,0.0,0.0
Restaurante Fogão150,4.0,"R. Barão de Aracati, 150 - Meireles, Fortaleza - CE, 60115-080",$$,restaurante,231,0.0,0.0
Tempero do Mangue,4.4,"R. Valdir Bezerra, 100 - Sabiaguaba, Fortaleza - CE, 60835-795",$$$,restaurante,1.771,0.0,0.0
La Bella Italia,4.5,"Av. Almirante Barroso, 812 - Praia de Iracema, Fortaleza - CE, 60060-440",$$,restaurante,1.337,0.0,0.0
Restaurante Caicó Papicu,4.5,"R. Eduardo Sabóia, 228 - Papicu, Fortaleza - CE, 60175-145",$$,restaurante,1.809,30.0,30.0
Misaki - Restaurante Japonês Contemporâneo em Fortaleza,4.6,"Shopping Jardins Open Mall Avenida Desembargador Moreira, 1011 Aldeota Fortaleza CE 60170-001, Av. Desembargador Moreira, 1011 - Aldeota, Fortaleza - CE, 60160-230",$$$$,restaurante,736,10.0,10.0
Restaurante Self Service - Mosaico Restaurante,4.5,"R. Francisco Holanda, 609 - 706 - Dionísio Torres, Fortaleza - CE, 60130-140",$,restaurante,294,30.0,30.0
Culinária da Van,4.5,"R. Waldery Uchôa, 260 - Benfica, Fortaleza - CE, 60020-110",$$,restaurante,3.309,0.0,0.0
Le Marché,4.5,"Praça Pelotas, 41 - Centro, Fortaleza - CE, 60110-210",Restaurante francês,restaurante,310,0.0,0.0
Novos Boêmios,4.7,"R. João Cordeiro, 219 - Meireles, Fortaleza - CE, 60110-355",$$,restaurante,527,0.0,0.0
Aconchego Bistrô Cearense,4.5,"R. Dr. João Moreira, 143 - Centro, Fortaleza - CE, 60030-000",Restaurante,restaurante,120,0.0,0.0
Restaurante Mareiro,4.3,"Av. Beira Mar, 2380 - Meireles, Fortaleza - CE, 60165-121",Restaurante,restaurante,53,0.0,0.0
Pasto e Pizzas,4.6,"Av. Júlio Abreu, 160 - Varjota, Fortaleza - CE, 60160-240",Restaurante,restaurante,704,0.0,0.0
Frigideira do Jonny Self Service,4.6,"R. Joaquim Nabuco, 1900 - Aldeota, Fortaleza - CE, 60125-055",$$,restaurante,2.259,45.0,45.0
"Cinco Sentidos Bistrô: Restaurante, Gastronomia, Drinks, Vinhos em Fortaleza CE",4.3,"Rua Professor Dias da Rocha, 579 - Meireles, Fortaleza - CE, 60170-310",Restaurante,restaurante,12,0.0,0.0
Anzio Gastronomia,4.5,"Travessa Acaraú, 39 - Meireles, Fortaleza - CE, 60160-180",$$,restaurante,517,0.0,0.0
Carbone Steakhouse,4.6,"Av. Desembargador Moreira, 1300 - Aldeota, Fortaleza - CE, 60191-156",$$$,restaurante,532,0.0,0.0
Colosso Fortaleza,4.5,"Av. Hermenegildo Sá Cavalcante, s/n - Edson Queiroz, Fortaleza - CE, 60811-665",$$$$,restaurante,716,0.0,0.0
Mangusta Restaurante e Pizzaria,4.8,"R. da Assunção, 1195 - José Bonifacio, Fortaleza - CE, 60040-230",Restaurante,restaurante,77,0.0,0.0
Churrascaria JP Steakhouse Fortaleza,4.6,"Av. Beira Mar, 2500 - Loja 9 - Meireles, Fortaleza - CE, 60165-120",$$$,restaurante,3.519,0.0,0.0
Domino's Pizza,4.2,"Av. Treze de Maio, 825 - Fátima, Fortaleza - CE, 60040-531",$$,restaurante,764,20.0,20.0
Restaurante Mariano da Picanha,4.0,"Av. Monsenhor Tabosa, 1712 - Meireles, Fortaleza - CE, 60165-010",$$,restaurante,1.231,0.0,0.0
O Capo,4.2,"R. Barão de Aracati, 50 - Praia de Iracema, Fortaleza - CE, 60115-080",Restaurante italiano,restaurante,318,0.0,0.0
Conimaki,4.2,"Rua Canuto de Aguiar, 1368 - Meireles, Fortaleza - CE, 60160-120",$$$,restaurante,619,0.0,0.0
Restaurante Amaral (o goiano),4.1,"Av. César Cals, 953 - Vicente Pinzon, Fortaleza - CE, 60182-035",Restaurante,restaurante,53,25.0,25.0
Zoá Gastrobar,4.7,"R. Visc. de Mauá, 2217 - Dionísio Torres, Fortaleza - CE, 60125-161",Restaurante,restaurante,53,45.0,45.0
Pepe nero Bistrô,4.4,"Av. Pres. Castelo Branco, 158 - Centro, Fortaleza - CE",$$,restaurante,366,45.0,45.0
Mar de Lima,4.8,"Rua Frei Mansueto, 1130 - Varjota, Fortaleza - CE, 60175-070",Restaurante,restaurante,39,0.0,0.0
Restaurante Fiorentina,4.0,"R. Osvaldo Cruz, 8 - Praia de Iracema, Fortaleza - CE, 60125-150",Restaurante,restaurante,65,0.0,0.0
Barraca da Boa,4.2,"Av. Beira Mar, 2571 - Meireles, Fortaleza - CE, 60165-121",$$,restaurante,7.976,0.0,0.0
Restaurante Sesc João Cordeiro,4.8,"R. João Cordeiro, 933 - Aldeota, Fortaleza - CE, 60110-301",$,restaurante,144,30.0,30.0
Restaurante Fortaleza,0.0,"R. Clodoaldo Arruda, 250 - Cambeba, Fortaleza - CE, 60822-375",,restaurante,0,0.0,0.0
Bruta Flor,4.6,"R. Antônio Augusto, 806 - Meireles, Fortaleza - CE, 60110-370",$$,restaurante,137,0.0,0.0
