NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Sra. Quentinha Fortaleza Self-Service E Delivery;;;R. Barão do Rio Branco, 2251 - Centro, Fortaleza - CE, 60011-060;Restaurante;;delivery de comida
Padaria Portugália: Panificadora, Confeitaria, Delivery, Cocó, Fortaleza CE;;;Rua Professor Otávio Lobo, 755 - Cocó, Fortaleza - CE, 60192-290;$$;20 min;delivery de comida
Qué do Quê Restaurante Lanches;;;Rua General Tertuliano Potiguara, 313 - Aldeota, Fortaleza - CE, 60135-280;Restaurante fast-food;25 min;delivery de comida
Pizza To Go;4.4;51 comentários;R. Eduardo Garcia, 1000 - Aldeota, Fortaleza - CE, 60150-100;Pizzaria;;delivery de comida
Ordo's Burguer: Hambúrgueres, Hot Dogs, Hamburgueria, Delivery Fortaleza CE;;;Av. Jovita Feitosa, 279 - Parquelândia, Fortaleza - CE, 60455-410;$$;45 min a 2 h;delivery de comida
Barney's Burger Fábrica: Hamburgueria, Sobremesas, Delivery em Fortaleza CE;;;Vila, R. Doctor Antônio Goes, 1125 - casa 7 - Aldeota, Fortaleza - CE, 60115-120;Hamburgueria;;delivery de comida
Nhamy Nhamy Mercado Saudável;5.0;20 comentários;Av. Viena Weyne, 370 - loja 10 - Cambeba, Fortaleza - CE, 60822-180;Restaurante;20 min a 1,5 h;delivery de comida
Verdelima Restaurante;4.5;477 comentários;R. Joaquim Nabuco, 1283 - Aldeota, Fortaleza - CE, 60125-055;$$;25 min a 1 h;delivery de comida
Qué do Quê Restaurante Lanches;;;Rua General Tertuliano Potiguara, 313 - Aldeota, Fortaleza - CE, 60135-280;Restaurante fast-food;25 min;delivery de comida
Pizza To Go;4.4;51 comentários;R. Eduardo Garcia, 1000 - Aldeota, Fortaleza - CE, 60150-100;Pizzaria;;delivery de comida
Barney's Burger Fábrica: Hamburgueria, Sobremesas, Delivery em Fortaleza CE;;;Vila, R. Doctor Antônio Goes, 1125 - casa 7 - Aldeota, Fortaleza - CE, 60115-120;Hamburgueria;;delivery de comida
Two Brothers Aldeota: Pizza, Massas, Calzones, Pizzaria, Delivery, Fortaleza CE;;;R. Alfredo Severo, 112 - Aldeota, Fortaleza - CE, 60150-040;Pizzaria;;delivery de comida
Restaurante Fogão150;;;R. Barão de Aracati, 150 - Meireles, Fortaleza - CE, 60115-080;$$;;delivery de comida
Camarada Camarão: Camarões, Peixes, Happy Hour, Restaurante, Fortaleza CE;;;R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055;$$$;5-45 min;delivery de comida
Vai Já Lanches;;;Rua Professor Álvaro Costa, 806 - Vicente Pinzon, Fortaleza - CE, 60182-014;Lanchonete;;delivery de comida
Sushi-Bar e Pizzaria FV Delivery;4.0;8 comentários;666, Av. Dos Jangadeiros - Vicente Pinzon, Fortaleza - CE, 60175-440;Pizzaria;;delivery de comida
Ôxe Galeteria e Marmitaria Delivery;3.7;6 comentários;R. Gonçalves Lêdo, 48 - Praia de Iracema, Fortaleza - CE, 60110-261;Restaurante;;delivery de comida
Bill Esfiha Delivery;;;Av. Aguanambi, 926 - José Bonifacio, Fortaleza - CE, 60055-402;Delivery;;delivery de comida
Marmitas e Lanches;3.0;2 comentários;R. República da Armênia, 110 - Parque Manibura, Fortaleza - CE, 60821-760;Lanchonete;;delivery de comida
Marmitaria marmitex quentinha restaurante Comidinha caseira da marcia delivery 989309177;;;Rua Professor Carvalho, 3084 - Altos - Joaquim Távora (Fortaleza), Fortaleza - CE, 60120-340;Restaurante brasileiro;;delivery de comida
Brittus Pizza;;;R. Nogueira Acioli, 2001 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60356-581;$;15 min a 1 h;delivery de comida
Marmitaria Delivery;;;R. Agapito dos Santos, 465 - Centro, Fortaleza - CE, 60010-250;;;delivery de comida
Menu Alimentação Saudável;;;R. Norvinda Píres, 90 - Aldeota, Fortaleza - CE, 60150-280;$$;15-45 min;delivery de comida
Duque de Coxinhas;5.0;7 comentários;R. Gonçalves Lêdo, 175 - Centro, Fortaleza - CE, 60110-261;Delivery;;delivery de comida
Temperô Food;3.8;5 comentários;Alameda Telma, 45 - Cidade 2000, Fortaleza - CE, 60190-290;Delivery;;delivery de comida
Comida Saudável e Yakisoba;4.5;20 comentários;Av. Treze de Maio, 2118 B - Benfica, Fortaleza - CE, 60040-531;Restaurante de comida caseira;;delivery de comida
Dieta Já;;;Centro, Fortaleza - CE, 60050-040;Delivery;;delivery de comida
Casa da Comida;;;R. Sen. Pompeu, 1099 L2 - Loja 101 A 106 - Centro, Fortaleza - CE, 60025-000;;;delivery de comida
Verdelima Restaurante;4.5;477 comentários;R. Joaquim Nabuco, 1283 - Aldeota, Fortaleza - CE, 60125-055;$$;25 min a 1 h;delivery de comida
Mini Menu Fortaleza;5.0;3 comentários;Av. Viena Weyne, 370 - loja 10 - Cambeba, Fortaleza - CE, 60822-180;Restaurante;;delivery de comida
Naturallís Comida Saudável;;;Rua Josias Paulo de Sousa, 120 - Vicente Pinzon, Fortaleza - CE, 60184-110;;;delivery de comida
Comida Saudável e Yakisoba;4.5;20 comentários;Av. Treze de Maio, 2118 B - Benfica, Fortaleza - CE, 60040-531;Restaurante de comida caseira;;delivery de comida
Restaurante Frederico Delivery;;;Av. Barão de Studart, 855 - Aldeota, Fortaleza - CE, 60120-000;;;delivery de comida
Coco Bambu - Dom Pastel;;;R. Carlos Vasconcelos, 996 - Aldeota, Fortaleza - CE, 60115-170;$$$;1,5-2,5 horas;delivery de comida
Casa da Comida;;;R. Sen. Pompeu, 1099 L2 - Loja 101 A 106 - Centro, Fortaleza - CE, 60025-000;;;delivery de comida
Restaurante e Marmitaria Tô Com Fome;4.5;15 comentários;Av. Rogaciano Leite, 1860A - Cocó, Fortaleza - CE, 60821-070;Lanchonete;;delivery de comida
Marmitaria Comida Caseira;4.3;18 comentários;R. Coronel Manuel Jesuíno - Mucuripe, Fortaleza - CE, 60175-270;Restaurante de comida caseira;;delivery de comida
Mangusta Restaurante e Pizzaria;;;R. da Assunção, 1195 - José Bonifacio, Fortaleza - CE, 60040-230;Restaurante;;delivery de comida
Pizzaria & Restaurante do Mar;;;Av. César Cals, 1089 - Vicente Pinzon, Fortaleza - CE, 60182-035;Pizzaria;;delivery de comida
Marmitaria Sabor Delivery;;;Odernes Figueredo, 73, Rua Doutor José Lino, 260 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60135-260;Delivery;;delivery de comida
Saladinha Top: Saladas, Congelados, Alimentação Saudável, Delivery em Fortaleza CE;;;R. Mário Alencar Araripe, 1080 - Lagoa Sapiranga (Coité), Fortaleza - CE, 60833-163;Saladas prontas;;delivery de comida
Restaurante e Marmitaria da Flávia;;;Av. Dioguinho, 4360 - Vicente Pinzon, Fortaleza - CE, 60183-712;Restaurante;;delivery de comida
Tequenhosemolhos;;;São João do Tauape, Fortaleza - CE, 60130-300;;;delivery de comida
We Love Pizza;4.3;469 comentários;Av. Pontes Vieira, 726 - Fátima, Fortaleza - CE, 60130-240;Delivery de Pizza;;delivery de comida
Paradaise Gourmet;4.5;29 comentários;Rua Dona Leopoldina, 53 - Centro, Fortaleza - CE, 60110-000;Delivery de Pizza;;delivery de comida
Sabor no Prato Lanches e Marmitas;5.0;Um comentário;R. Santo Amaro, 68 - Vicente Pinzon, Fortaleza - CE, 60181-750;Restaurante de comida caseira;;delivery de comida
Carneiro do Ordones Butiquim: Restaurante, Drinks, Carnes, Delivery em Fortaleza;;;R. Azevedo Bolão, 570 - Parquelândia, Fortaleza - CE, 60450-675;$$;1-3 horas;delivery de comida
Boteco da Panelada Self-service e Marmita.Temos delivery;;;R. Joaquim Magalhães, 140 - Loja 01 - Benfica, Fortaleza - CE, 60040-160;$$;;delivery de comida
Sabor de Mar;4.2;148 comentários;Av. Desembargador Moreira, 256 - Meireles, Fortaleza - CE, 60170-000;$$;1-2,5 horas;delivery de comida
Empório de Fátima;;;Av. Deputado Oswaldo Studart, 250 - Fátima, Fortaleza - CE, 60415-040;$$;15-45 min;delivery de comida
Verdelima Restaurante;4.5;477 comentários;R. Joaquim Nabuco, 1283 - Aldeota, Fortaleza - CE, 60125-055;$$;25 min a 1 h;delivery de comida
Nhamy Nhamy Mercado Saudável;5.0;20 comentários;Av. Viena Weyne, 370 - loja 10 - Cambeba, Fortaleza - CE, 60822-180;Restaurante;20 min a 1,5 h;delivery de comida
Sabor no Prato Lanches e Marmitas;5.0;Um comentário;R. Santo Amaro, 68 - Vicente Pinzon, Fortaleza - CE, 60181-750;Restaurante de comida caseira;;delivery de comida
Delicie Do Casal 20;5.0;Um comentário;Av. Beira Mar - Meireles, Fortaleza - CE, 60165-120;Restaurante de comida caseira;;delivery de comida
brotÔ congelados;;;R. Eduardo Salgado - Aldeota, Fortaleza - CE, 60150-140;;;delivery de comida
Boteco da Panelada Self-service e Marmita.Temos delivery;;;R. Joaquim Magalhães, 140 - Loja 01 - Benfica, Fortaleza - CE, 60040-160;$$;;delivery de comida
NBS Burguer Parquelândia: Hambúrgueres, Hot Dog, Hamburgueria, Delivery, Fortaleza CE;;;Rua Professor Nogueira, 45 - Loja 01 - Parquelândia, Fortaleza - CE, 60450-520;Hamburgueria;30 min a 1,5 h;delivery de comida
Feijoada Brasil;;;Av. das Adenanteras, 689a - Cidade 2000, Fortaleza - CE, 60190-560;Delivery;;delivery de comida
Mistura Cearense;;;R. da Assunção, 119 - Centro, Fortaleza - CE, 60050-010;Restaurante self-service;30 min;delivery de comida
Barney's Burger Sul: Hamburgueria, Sobremesas, Delivery em Fortaleza CE;;;R. Lourival Correia Pinho, 147 - Parque Manibura, Fortaleza - CE, 60821-720;$$$;20 min a 1,5 h;delivery de comida
Bambolê Lanches;4.1;18 comentários;Rua do Rosário, 68 - Centro, Fortaleza - CE, 60055-090;Lanchonete;;delivery de comida
Take a Juice - Varjota;4.6;122 comentários;Av. Júlio Abreu, 160 - Loja 13 - Varjota, Fortaleza - CE, 60160-240;$$;;delivery de comida
Disk marmitaria;;;R. Novo Farol, 174 - Vicente Pinzon, Fortaleza - CE, 60181-005;Restaurante familiar;;delivery de comida
Delicious Pizzaria;4.6;44 comentários;Alameda Das Miosótes, 405 - Cidade 2000, Fortaleza - CE, 60190-490;Delivery de Pizza;;delivery de comida
